gender,age,membership_tier,preferred_channel,province,customer_age_days,category,brand,is_fragile,product_rating,courier_name,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_id,promo_name,promo_type,promo_discount_rate,promo_start_date,promo_end_date,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,delivery_days,delay_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,is_returned,customer_tenure_months,order_month,order_dayofweek,is_weekend,age_group,logistics_risk
Female,21,Bronze,Web,Phuket,1144,Fashion,SilkTouch,True,3.5,EcoDelivery,Eco,5.0,0.05,Bangkok Only,PROMO_001,New Year Mega Sale,Campaign,0.1,2025-01-01,2025-01-31,Shopee,Credit_Card,1,2500.0,0.05,0.1,0.15,375.0,2125.0,2,4,2,0,5,-1,0,0.0,0,21.333333333333332,1,2,0,20-30,0.05
Female,66,Bronze,Web,Songkhla,1892,Home_Appliance,PureAir,True,4.6,FastShip,Express,1.5,0.01,Nationwide,PROMO_NONE,No Promotion,,0.0,2020-01-01,2030-01-01,TV_Show,COD,2,4500.0,0.05,0.0,0.05,450.0,8550.0,1,2,1,0,8,-1,0,0.0,1,46.266666666666666,1,2,0,>50,0.01
Male,67,Silver,App,Khon Kaen,1019,Cosmetics,GlowUp,True,4.9,FastShip,Express,1.5,0.01,Nationwide,PROMO_NONE,No Promotion,,0.0,2020-01-01,2030-01-01,Mobile_App,COD,1,450.0,0.1,0.0,0.1,45.0,405.0,2,5,3,0,8,-1,0,0.0,0,17.166666666666668,1,2,0,>50,0.01
Male,43,Bronze,TV,Songkhla,1481,Home_Appliance,BlendIt,True,3.9,EcoDelivery,Eco,5.0,0.05,Bangkok Only,PROMO_NONE,No Promotion,,0.0,2020-01-01,2030-01-01,TikTok,COD,1,1100.0,0.05,0.0,0.05,55.0,1045.0,2,2,0,0,10,-1,0,0.0,0,32.56666666666667,1,2,0,40-50,0.05
Female,66,Bronze,Web,Chiang Mai,2495,Home_Appliance,PureAir,True,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,PROMO_001,New Year Mega Sale,Campaign,0.1,2025-01-01,2025-01-31,Mobile_App,Credit_Card,2,4500.0,0.05,0.1,0.15,1350.0,7650.0,3,1,-2,0,13,-1,0,0.0,0,66.36666666666666,1,2,0,>50,0.02
Female,58,Silver,TV,Remote_Area,1629,Home_Appliance,PureAir,True,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,PROMO_NONE,No Promotion,,0.0,2020-01-01,2030-01-01,TV_Show,Bank_Transfer,1,4500.0,0.1,0.0,0.1,450.0,4050.0,3,4,1,0,14,-1,0,0.0,0,37.5,1,2,0,>50,0.02
Female,31,Silver,App,Chonburi,2181,Home_Appliance,CookEasy,True,4.3,SafeLogistics,Standard,3.0,0.02,Nationwide,PROMO_001,New Year Mega Sale,Campaign,0.1,2025-01-01,2025-01-31,TV_Show,Bank_Transfer,2,1500.0,0.1,0.1,0.2,600.0,2400.0,3,5,2,0,16,-1,0,0.0,0,55.9,1,2,0,30-40,0.02
Female,26,Silver,Web,Nonthaburi,1335,Home_Appliance,PureAir,True,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,PROMO_001,New Year Mega Sale,Campaign,0.1,2025-01-01,2025-01-31,TikTok,Bank_Transfer,1,4500.0,0.1,0.1,0.2,900.0,3600.0,3,5,2,0,19,-1,0,0.0,0,27.7,1,2,0,20-30,0.02
Male,54,Bronze,TV,Nonthaburi,841,Home_Appliance,HomePro,True,4.1,FastShip,Express,1.5,0.01,Nationwide,PROMO_NONE,No Promotion,,0.0,2020-01-01,2030-01-01,TV_Show,COD,2,2200.0,0.05,0.0,0.05,220.0,4180.0,3,5,2,0,21,-1,0,0.0,0,11.233333333333333,1,2,0,>50,0.01
Female,57,Platinum,LINE,Remote_Area,1430,Fashion,SilkTouch,True,3.5,EcoDelivery,Eco,5.0,0.05,Bangkok Only,PROMO_NONE,No Promotion,,0.0,2020-01-01,2030-01-01,Shopee,COD,2,2500.0,0.2,0.0,0.2,1000.0,4000.0,1,2,1,0,22,-1,0,0.0,0,30.866666666666667,1,2,0,>50,0.05
