version,feature,in_clean_source,in_df_engineered,used_in_model,status,reason
V1,avg_delivery_days,True,False,False,DROPPED,post-event/target/leakage field
V1,brand,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,campaign_discount_pct,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,category,True,True,False,NOT USED,not selected in final feature set
V1,category_channel,False,True,False,NOT USED,engineered candidate not selected for this model
V1,category_payment,False,True,False,NOT USED,engineered candidate not selected for this model
V1,channel_type,True,True,False,NOT USED,not selected in final feature set
V1,courier_id,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,courier_name,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,courier_type,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,coverage_region,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,customer_id,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,customer_name,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,customer_phone,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,damage_rate,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,delay_days,True,False,False,DROPPED,post-event/target/leakage field
V1,delivery_date,True,False,False,DROPPED,post-event/target/leakage field
V1,delivery_days,True,False,False,DROPPED,post-event/target/leakage field
V1,discount_applied_amount,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,expected_delivery_date,True,False,False,DROPPED,post-event/target/leakage field
V1,gender,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,gender_province,False,True,False,NOT USED,engineered candidate not selected for this model
V1,hist_order_count,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,hist_return_rate,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,is_returned,True,True,False,DROPPED,post-event/target/leakage field
V1,item_condition,True,False,False,DROPPED,post-event/target/leakage field
V1,order_date,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,order_id,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,payment_method,True,True,False,NOT USED,not selected in final feature set
V1,preferred_channel,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,product_id,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,product_name,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,promo_discount_rate,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,promo_end_date,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,promo_id,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,promo_name,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,promo_start_date,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,promo_type,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,province,True,True,False,NOT USED,not selected in final feature set
V1,province_payment,False,True,False,NOT USED,engineered candidate not selected for this model
V1,refund_amount,True,False,False,DROPPED,post-event/target/leakage field
V1,registration_date,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,return_date,True,False,False,DROPPED,post-event/target/leakage field
V1,return_id,True,False,False,DROPPED,post-event/target/leakage field
V1,return_reason,True,False,False,DROPPED,post-event/target/leakage field
V1,return_scenario,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,return_status,True,False,False,DROPPED,post-event/target/leakage field
V1,risk_score,True,False,False,DROPPED,post-event/target/leakage field
V1,risk_tier,True,False,False,DROPPED,post-event/target/leakage field
V1,score_id,True,False,False,DROPPED,post-event/target/leakage field
V1,scored_at,True,False,False,DROPPED,post-event/target/leakage field
V1,shap_values,True,False,False,DROPPED,post-event/target/leakage field
V1,supplier_contact,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,supplier_id,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,supplier_name,True,False,False,DROPPED,identifier or high-cardinality identity field
V1,tier_discount_pct,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
V1,total_discount_pct,True,False,False,DROPPED,raw field replaced by engineered/encoded feature or not required
