order_id,customer_id,order_date,gender,age,membership_tier,preferred_channel,province,customer_age_days,category,brand,is_fragile,product_rating,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,order_hour,order_month,order_dayofweek,is_weekend,age_group,customer_tenure_months,total_orders_before,total_returns_before,customer_return_ratio,days_since_last_return,days_since_last_order_pti,customer_avg_spend_before,customer_max_discount_before,customer_cod_rate_before,customer_high_discount_rate_before,customer_repurchase_rate_before,hist_spend_sum_7d,hist_order_count_7d,hist_return_count_7d,hist_return_rate_7d,hist_spend_sum_30d,hist_order_count_30d,hist_return_count_30d,hist_return_rate_30d,hist_spend_sum_60d,hist_order_count_60d,hist_return_count_60d,hist_return_rate_60d,hist_spend_sum_90d,hist_order_count_90d,hist_return_count_90d,hist_return_rate_90d,hist_spend_sum_180d,hist_order_count_180d,hist_return_count_180d,hist_return_rate_180d,hist_spend_sum_365d,hist_order_count_365d,hist_return_count_365d,hist_return_rate_365d,is_returned
LGS2ORD0000001,C011123,2025-01-01 00:00:00,Female,45,Bronze,TV,Chiang Mai,65,Health,VitaLife,0,4.34,Express,1.6,0.048,Nationwide,Campaign,0.15,TV_Show,Bank_Transfer,3,4518.24,0.18,2439.85,11114.87,1,0,1,2,0,40-50,2.1666666666666665,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000002,C013024,2025-01-01 00:00:00,Male,37,Bronze,Lazada,Khon Kaen,1299,Fashion,FitStyle,0,3.63,Standard,3.0,0.1097,Nationwide,No Promotion,0.0,Shopee,Bank_Transfer,1,902.28,0.03,27.07,875.21,3,0,1,2,0,30-40,43.3,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000003,C016520,2025-01-01 00:00:00,Male,61,Bronze,CallCenter,Khon Kaen,818,Home_Appliance,HomePro,1,3.76,Regional,4.2,0.0957,Regional,Campaign,0.15,Lazada,COD,2,4636.35,0.18,1669.09,7603.62,4,0,1,2,0,>50,27.266666666666666,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1
LGS2ORD0000004,C013727,2025-01-01 01:00:00,Male,41,Bronze,Web,Phuket,705,Kitchen,KitchenMax,0,4.17,Standard,3.0,0.0632,Nationwide,Clearance,0.25,Web,PromptPay,1,3868.66,0.28,1083.23,2785.44,3,1,1,2,0,40-50,23.5,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000005,C013986,2025-01-01 01:00:00,Male,52,Platinum,Web,Bangkok,675,Electronics,GadgetWorld,1,3.67,Standard,3.0,0.1063,Nationwide,Campaign,0.15,TV_Show,Credit_Card,1,2818.5,0.25,704.62,2113.87,3,1,1,2,0,>50,22.5,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000006,C010541,2025-01-01 01:00:00,Male,49,Bronze,TV,Remote_Area,1183,Home_Appliance,PureAir,0,4.09,Express,1.6,0.0776,Nationwide,Campaign,0.1,Lazada,COD,2,8456.24,0.13,2198.62,14713.85,1,1,1,2,0,40-50,39.43333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000007,C015831,2025-01-01 01:00:00,Male,49,Bronze,Shopee,Bangkok,576,Home_Appliance,PureAir,0,4.43,Express,1.6,0.0417,Nationwide,No Promotion,0.0,CallCenter,COD,3,11847.46,0.03,1066.27,34476.12,1,1,1,2,0,40-50,19.2,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000008,C017475,2025-01-01 02:00:00,Female,22,Silver,Shopee,Bangkok,882,Fashion,FitStyle,0,3.8,Regional,4.2,0.0954,Regional,Campaign,0.15,Lazada,Credit_Card,1,1548.97,0.2,309.79,1239.17,4,2,1,2,0,20-30,29.4,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000009,C014870,2025-01-01 02:00:00,Male,71,Bronze,Lazada,Bangkok,1453,Cosmetics,SunSafe,0,4.36,Standard,3.0,0.06,Nationwide,Campaign,0.05,Web,COD,1,1920.56,0.08,153.64,1766.91,3,2,1,2,0,>50,48.43333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000010,C013392,2025-01-01 02:00:00,Male,51,Silver,Web,Phuket,1339,Electronics,NovaTech,1,3.92,Regional,4.2,0.0888,Regional,No Promotion,0.0,Shopee,COD,1,11011.69,0.05,550.58,10461.1,4,2,1,2,0,>50,44.63333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1
LGS2ORD0000011,C012123,2025-01-01 02:00:00,Female,22,Silver,TV,Khon Kaen,1051,Fashion,SilkTouch,0,3.66,Regional,4.2,0.1027,Regional,Campaign,0.05,Lazada,PromptPay,3,605.33,0.1,181.6,1634.4,4,2,1,2,0,20-30,35.03333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000012,C013592,2025-01-01 03:00:00,Male,63,Gold,TV,Nakhon Ratchasima,1447,Fashion,UrbanWear,0,3.48,Express,1.6,0.1243,Nationwide,Clearance,0.25,TV_Show,PromptPay,2,1328.87,0.33,877.05,1780.68,1,3,1,2,0,>50,48.233333333333334,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
LGS2ORD0000013,C013107,2025-01-01 03:00:00,Other,37,Silver,TV,Nakhon Ratchasima,1100,Electronics,NovaTech,1,4.08,Express,1.6,0.0782,Nationwide,Campaign,0.15,Lazada,COD,1,8871.16,0.2,1774.23,7096.93,1,3,1,2,0,30-40,36.666666666666664,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0
