feature,importance,used_by_tree
gender,85,True
age,489,True
membership_tier,334,True
preferred_channel,193,True
province,1486,True
customer_age_days,762,True
category,383,True
brand,239,True
is_fragile,53,True
product_rating,1044,True
courier_type,71,True
avg_delivery_days,253,True
damage_rate,1202,True
coverage_region,0,False
promo_type,54,True
promo_discount_rate,595,True
channel_type,284,True
payment_method,692,True
quantity,88,True
unit_price,602,True
total_discount_pct,272,True
discount_applied_amount,768,True
total_amount,623,True
delivery_time_expected_days,21,True
order_hour,428,True
order_month,407,True
order_dayofweek,262,True
is_weekend,11,True
age_group,76,True
customer_tenure_months,80,True
total_orders_before,97,True
total_returns_before,63,True
customer_return_ratio,125,True
days_since_last_return,527,True
days_since_last_order_pti,463,True
customer_avg_spend_before,429,True
customer_max_discount_before,185,True
customer_cod_rate_before,273,True
customer_high_discount_rate_before,274,True
customer_repurchase_rate_before,1,True
hist_spend_sum_7d,139,True
hist_order_count_7d,3,True
hist_return_count_7d,0,False
hist_return_rate_7d,0,False
hist_spend_sum_30d,270,True
hist_order_count_30d,28,True
hist_return_count_30d,27,True
hist_return_rate_30d,31,True
hist_spend_sum_60d,364,True
hist_order_count_60d,42,True
hist_return_count_60d,6,True
hist_return_rate_60d,41,True
hist_spend_sum_90d,533,True
hist_order_count_90d,31,True
hist_return_count_90d,10,True
hist_return_rate_90d,96,True
hist_spend_sum_180d,462,True
hist_order_count_180d,129,True
hist_return_count_180d,96,True
hist_return_rate_180d,159,True
hist_spend_sum_365d,409,True
hist_order_count_365d,61,True
hist_return_count_365d,46,True
hist_return_rate_365d,110,True
