comparison_group,version,features,small_dataset,large_dataset,small_accuracy_pct,large_accuracy_pct,gap_large_minus_small_pp,interpretation
Clean Dataset S1 vs Clean Dataset S2,V1,25,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",80.60,82.29,+1.69,"S2 ??????? S1 ???????????? train ???? 50,000 ??????? pattern ??????????"
Clean Dataset S1 vs Clean Dataset S2,V2,64,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",81.20,82.17,+0.97,"S2 ??????? S1 ???????????? train ???? 50,000 ??????? pattern ??????????"
Clean Dataset S1 vs Clean Dataset S2,V3,81,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",81.90,83.04,+1.14,"S2 ??????? S1 ???????????? train ???? 50,000 ??????? pattern ??????????"
Clean Dataset S1 vs Clean Dataset S2,V4,107,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",82.50,83.16,+0.66,"S2 ??????? S1 ???????????? train ???? 50,000 ??????? pattern ??????????"
Clean Dataset S1 vs Clean Dataset S2,V5,64,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",82.00,82.86,+0.86,"S2 ??????? S1 ???????????? train ???? 50,000 ??????? pattern ??????????"
Real Dataset S3 vs Real Dataset S4,V1,25,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",80.09,82.45,+2.36,S4 ??????? S3 ????????? real ????????????? pattern ??????? clean/train ????????????????????
Real Dataset S3 vs Real Dataset S4,V2,64,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",80.71,81.92,+1.21,S4 ??????? S3 ????????? real ????????????? pattern ??????? clean/train ????????????????????
Real Dataset S3 vs Real Dataset S4,V3,81,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",82.04,82.87,+0.83,S4 ??????? S3 ????????? real ????????????? pattern ??????? clean/train ????????????????????
Real Dataset S3 vs Real Dataset S4,V4,107,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",82.05,82.86,+0.81,S4 ??????? S3 ????????? real ????????????? pattern ??????? clean/train ????????????????????
Real Dataset S3 vs Real Dataset S4,V5,64,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",81.91,82.78,+0.87,S4 ??????? S3 ????????? real ????????????? pattern ??????? clean/train ????????????????????
