comparison_group,version,features,small_dataset,large_dataset,small_accuracy_pct,large_accuracy_pct,accuracy_gap_large_minus_small_pp,small_predict_runtime_seconds,large_predict_runtime_seconds,predict_runtime_gap_seconds,small_pipeline_runtime_seconds,large_pipeline_runtime_seconds,pipeline_runtime_gap_seconds,runtime_note
Clean Dataset S1 vs Clean Dataset S2,V1,25,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",80.60,82.29,+1.69,0.1390,0.3488,+0.2098,0.6297,2.1396,+1.5099,Clean pipeline runtime is measured from DB benchmark for 5k and 50k rows.
Clean Dataset S1 vs Clean Dataset S2,V2,64,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",81.20,82.17,+0.97,0.0795,0.4927,+0.4132,30.5754,230.2552,+199.6798,Clean pipeline runtime is measured from DB benchmark for 5k and 50k rows.
Clean Dataset S1 vs Clean Dataset S2,V3,81,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",81.90,83.04,+1.14,0.0609,0.5000,+0.4391,33.0476,254.8428,+221.7952,Clean pipeline runtime is measured from DB benchmark for 5k and 50k rows.
Clean Dataset S1 vs Clean Dataset S2,V4,107,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",82.50,83.16,+0.66,0.0986,0.5968,+0.4982,33.4670,258.5415,+225.0745,Clean pipeline runtime is measured from DB benchmark for 5k and 50k rows.
Clean Dataset S1 vs Clean Dataset S2,V5,64,"SETC/S1 clean 5,000 holdout","SETC/S2 clean 50,000 holdout",82.00,82.86,+0.86,0.0605,0.4716,+0.4111,33.4400,258.4398,+224.9998,Clean pipeline runtime is measured from DB benchmark for 5k and 50k rows.
Real Dataset S3 vs Real Dataset S4,V1,25,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",80.09,82.45,+2.36,1.5294,0.7325,-0.7969,2.3536,4.4932,+2.1396,Real pipeline runtime is estimated from DB_FULL_50000 benchmark by row count; predict runtime is estimated from measured per-row model speed.
Real Dataset S3 vs Real Dataset S4,V2,64,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",80.71,81.92,+1.21,0.8747,1.0347,+0.1600,253.2807,483.5358,+230.2552,Real pipeline runtime is estimated from DB_FULL_50000 benchmark by row count; predict runtime is estimated from measured per-row model speed.
Real Dataset S3 vs Real Dataset S4,V3,81,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",82.04,82.87,+0.83,0.6700,1.0500,+0.3800,280.3271,535.1699,+254.8428,Real pipeline runtime is estimated from DB_FULL_50000 benchmark by row count; predict runtime is estimated from measured per-row model speed.
Real Dataset S3 vs Real Dataset S4,V4,107,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",82.05,82.86,+0.81,1.0841,1.2532,+0.1691,284.3956,542.9370,+258.5415,Real pipeline runtime is estimated from DB_FULL_50000 benchmark by row count; predict runtime is estimated from measured per-row model speed.
Real Dataset S3 vs Real Dataset S4,V5,64,"SETD/S3 real 55,000 full test","SETD/S4 real 105,000 full test",81.91,82.78,+0.87,0.6660,0.9904,+0.3243,284.2838,542.7235,+258.4398,Real pipeline runtime is estimated from DB_FULL_50000 benchmark by row count; predict runtime is estimated from measured per-row model speed.
