pair,version,features,clean_accuracy_pct,real_accuracy_pct,gap_pp,real_predict_runtime_seconds,db_query_seconds,feature_build_seconds,total_pipeline_runtime_seconds,runtime_note,recommended_reading
"S1 5,000 vs S3 55,000",V1,25,80.60,80.09,-0.51,1.5294,0.4334,0.1308,0.6297,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S1 5,000 vs S3 55,000",V2,64,81.20,80.71,-0.49,0.8747,0.4334,30.0664,30.5754,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S1 5,000 vs S3 55,000",V3,81,81.90,82.04,+0.14,0.6700,0.4334,32.5470,33.0476,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S1 5,000 vs S3 55,000",V4,107,82.50,82.05,-0.45,1.0841,0.4334,32.9234,33.4670,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S1 5,000 vs S3 55,000",V5,64,82.00,81.91,-0.09,0.6660,0.4334,32.9269,33.4400,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S2 50,000 vs S4 105,000",V1,25,82.29,82.45,+0.16,0.7325,1.0301,0.7411,2.1396,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S2 50,000 vs S4 105,000",V2,64,82.17,81.92,-0.25,1.0347,1.0301,228.6391,230.2552,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S2 50,000 vs S4 105,000",V3,81,83.04,82.87,-0.17,1.0500,1.0301,253.3153,254.8428,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S2 50,000 vs S4 105,000",V4,107,83.16,82.86,-0.30,1.2532,1.0301,256.8114,258.5415,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
"S2 50,000 vs S4 105,000",V5,64,82.86,82.78,-0.08,0.9904,1.0301,256.8475,258.4398,predict runtime is estimated for SETD external row count; pipeline runtime is measured from DB 5k/50k benchmark table,Use real_predict_runtime_seconds for pure model speed; use total_pipeline_runtime_seconds for production-like DB+feature+predict cost.
