comparison_pair,version,feature_strategy,feature_count_clean_model,clean_dataset,real_dataset,clean_holdout_accuracy_pct,real_external_accuracy_pct,accuracy_gap_real_minus_clean_pp,absolute_gap_pp,stability,clean_holdout_recall_pct,real_external_recall_pct,clean_holdout_f1_pct,real_external_f1_pct,clean_holdout_auc_pct,real_external_auc_pct,interpretation
S1_vs_S3,V1,"V1 base order-time features: customer profile, product, price, channel, payment, promotion, and logistics expectation.",25,"SETC/S1 clean 5,000 holdout","SETD/S3 real 55,000 full test",80.6,80.09,-0.51,0.51,Very close,70.85,69.55,69.97,69.04,82.97,82.36,Baseline with simpler feature set.
S1_vs_S3,V2,V2 customer temporal history: V1 plus point-in-time customer return/spend/order behavior and rolling windows.,64,"SETC/S1 clean 5,000 holdout","SETD/S3 real 55,000 full test",81.2,80.71,-0.49,0.49,Very close,66.46,66.92,69.28,68.89,82.57,82.2,Adds stronger customer/history and engineered behavior features.
S1_vs_S3,V3,V3 product and logistics risk: V2 plus product/category/brand/courier point-in-time risk and quality/logistics scores.,81,"SETC/S1 clean 5,000 holdout","SETD/S3 real 55,000 full test",81.9,82.04,0.14,0.14,Very close,65.52,64.31,69.78,69.56,82.71,82.52,Adds broader risk features and selected interactions.
S1_vs_S3,V4,"V4 business interactions: V3 plus category-payment-channel-province interactions, bands, and risk flags.",107,"SETC/S1 clean 5,000 holdout","SETD/S3 real 55,000 full test",82.5,82.05,-0.45,0.45,Very close,66.14,63.32,70.69,69.25,83.13,82.57,High-signal best candidate with the strongest combined feature set in this benchmark.
S1_vs_S3,V5,V5 compact selected best: reduced feature set selected from V2-V4 to keep performance high while reducing noise/resource use.,64,"SETC/S1 clean 5,000 holdout","SETD/S3 real 55,000 full test",82.0,81.91,-0.09,0.09,Very close,59.56,61.24,67.86,68.37,83.27,82.59,Compact/reduced candidate used to check whether fewer features can keep performance close.
S2_vs_S4,V1,"V1 base order-time features: customer profile, product, price, channel, payment, promotion, and logistics expectation.",25,"SETC/S2 clean 50,000 holdout","SETD/S4 real 105,000 full test",82.29,82.45,0.16,0.16,Very close,69.4,69.76,71.55,71.78,83.38,83.55,Baseline with simpler feature set.
S2_vs_S4,V2,V2 customer temporal history: V1 plus point-in-time customer return/spend/order behavior and rolling windows.,64,"SETC/S2 clean 50,000 holdout","SETD/S4 real 105,000 full test",82.17,81.92,-0.25,0.25,Very close,70.12,70.37,71.62,71.35,83.37,83.37,Adds stronger customer/history and engineered behavior features.
S2_vs_S4,V3,V3 product and logistics risk: V2 plus product/category/brand/courier point-in-time risk and quality/logistics scores.,81,"SETC/S2 clean 50,000 holdout","SETD/S4 real 105,000 full test",83.04,82.87,-0.17,0.17,Very close,68.0,65.25,72.01,70.9,83.29,83.28,Adds broader risk features and selected interactions.
S2_vs_S4,V4,"V4 business interactions: V3 plus category-payment-channel-province interactions, bands, and risk flags.",107,"SETC/S2 clean 50,000 holdout","SETD/S4 real 105,000 full test",83.16,82.86,-0.3,0.3,Very close,68.28,65.41,72.24,70.94,83.45,83.38,High-signal best candidate with the strongest combined feature set in this benchmark.
S2_vs_S4,V5,V5 compact selected best: reduced feature set selected from V2-V4 to keep performance high while reducing noise/resource use.,64,"SETC/S2 clean 50,000 holdout","SETD/S4 real 105,000 full test",82.86,82.78,-0.08,0.08,Very close,68.96,67.35,72.08,71.45,83.42,83.5,Compact/reduced candidate used to check whether fewer features can keep performance close.
