dataset,version,features,step_1_query_load_data_seconds,step_2_clean_prepare_data_seconds,step_3_feature_engineering_seconds,step_4_load_feature_schema_seconds,step_5_load_model_seconds,step_6_predict_seconds,pipeline_runtime_seconds
"S1-like DB 5,000 rows",V1,25,0.4334,0.1230,0.1308,0.0017,0.0101,0.0537,0.6297
"S1-like DB 5,000 rows",V2,64,0.4334,0.1230,30.0664,0.0014,0.0109,0.0633,30.5754
"S1-like DB 5,000 rows",V3,81,0.4334,0.1230,32.5470,0.0016,0.0079,0.0577,33.0476
"S1-like DB 5,000 rows",V4,107,0.4334,0.1230,32.9234,0.0020,0.0064,0.1017,33.4670
"S1-like DB 5,000 rows",V5,64,0.4334,0.1230,32.9269,0.0019,0.0070,0.0708,33.4400
"S2-like DB 50,000 rows",V1,25,1.0301,0.7077,0.7411,0.0104,0.0246,0.3334,2.1396
"S2-like DB 50,000 rows",V2,64,1.0301,0.7077,228.6391,0.0021,0.0163,0.5675,230.2552
"S2-like DB 50,000 rows",V3,81,1.0301,0.7077,253.3153,0.0033,0.0144,0.4796,254.8428
"S2-like DB 50,000 rows",V4,107,1.0301,0.7077,256.8114,0.0037,0.0113,0.6849,258.5415
"S2-like DB 50,000 rows",V5,64,1.0301,0.7077,256.8475,0.0030,0.0138,0.5453,258.4398
