customer_id,order_id,history_rows_all_before,history_rows_365d,total_orders_before,total_returns_before,customer_return_ratio,hist_order_count_30d,hist_return_rate_30d,hist_order_count_90d,hist_return_rate_90d,hist_order_count_365d,hist_return_rate_365d,hist_spend_sum_365d,dataset
C001065,LGS1ORD0004991,4,4,4,1,0.25,0,0.0,0,0.0,4,0.25,9920.269999999999,S1 clean 5k
C000858,LGS1ORD0004992,5,5,5,1,0.2,0,0.0,0,0.0,5,0.2,14815.36,S1 clean 5k
C000338,LGS1ORD0004993,6,5,6,1,0.16666666666666666,0,0.0,1,0.0,5,0.0,17547.23,S1 clean 5k
C001079,LGS1ORD0004994,7,6,7,1,0.14285714285714285,1,0.0,2,0.0,6,0.16666666666666666,69713.37000000001,S1 clean 5k
C000105,LGS1ORD0004995,3,3,3,0,0.0,0,0.0,1,0.0,3,0.0,29736.160000000003,S1 clean 5k
C000880,LGS1ORD0004996,4,2,4,0,0.0,0,0.0,1,0.0,2,0.0,5681.759999999999,S1 clean 5k
C000857,LGS1ORD0004997,5,4,5,2,0.4,0,0.0,1,1.0,4,0.5,5214.16,S1 clean 5k
C000694,LGS1ORD0004998,3,3,3,0,0.0,0,0.0,1,0.0,3,0.0,22668.82,S1 clean 5k
C000388,LGS1ORD0004999,3,3,3,1,0.3333333333333333,1,1.0,1,1.0,3,0.3333333333333333,12163.39,S1 clean 5k
C000302,LGS1ORD0005000,6,6,6,3,0.5,1,0.0,1,0.0,6,0.5,19510.63,S1 clean 5k
C012054,LGS2ORD0049991,10,10,10,6,0.6,2,0.5,3,0.6666666666666666,10,0.6,44518.33,S2 clean 50k
C013335,LGS2ORD0049992,11,11,11,4,0.36363636363636365,1,1.0,3,0.6666666666666666,11,0.36363636363636365,48304.259999999995,S2 clean 50k
C012463,LGS2ORD0049993,13,13,13,2,0.15384615384615385,1,0.0,2,0.0,13,0.15384615384615385,61848.19,S2 clean 50k
C014787,LGS2ORD0049994,10,8,10,0,0.0,0,0.0,2,0.0,8,0.0,39190.26,S2 clean 50k
C016880,LGS2ORD0049995,5,5,5,4,0.8,0,0.0,1,1.0,5,0.8,38010.80999999999,S2 clean 50k
C014105,LGS2ORD0049996,7,6,7,2,0.2857142857142857,0,0.0,0,0.0,6,0.3333333333333333,37795.77,S2 clean 50k
C015033,LGS2ORD0049997,5,5,5,1,0.2,0,0.0,1,0.0,5,0.2,30342.28,S2 clean 50k
C017381,LGS2ORD0049998,13,13,13,5,0.38461538461538464,1,0.0,3,0.0,13,0.38461538461538464,81292.51000000001,S2 clean 50k
C016770,LGS2ORD0049999,6,6,6,1,0.16666666666666666,1,1.0,2,0.5,6,0.16666666666666666,20621.29,S2 clean 50k
C016809,LGS2ORD0050000,7,7,7,2,0.2857142857142857,1,0.0,2,0.0,7,0.2857142857142857,49262.439999999995,S2 clean 50k
