order_id,customer_id,order_date,age,membership_tier,province,category,brand,is_fragile,product_rating,courier_type,avg_delivery_days,damage_rate,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,customer_tenure_months,order_month,order_dayofweek,is_weekend,total_orders_before,total_returns_before,customer_return_ratio,days_since_last_return,hist_order_count_30d,hist_return_count_30d,hist_return_rate_30d,hist_spend_sum_30d,hist_order_count_60d,hist_return_rate_60d,hist_order_count_180d,hist_return_rate_180d,hist_order_count_365d,hist_return_rate_365d,is_cod,is_high_discount,low_rating_alert,discount_amount_ratio,amount_per_item,log_total_amount,category_payment,category_channel,province_payment,category_return_rate_pti,product_return_rate_pti,courier_return_rate_pti,price_band,discount_band,rating_band,is_high_value_order,is_fragile_cod,is_remote_cod,logistics_risk,province_category_return_rate_pti,brand_return_rate_pti,payment_return_rate_pti,channel_return_rate_pti,courier_type_return_rate_pti,is_returned
ORD00001,C0432,2025-01-01 05:00:00,21,Bronze,Phuket,Fashion,SilkTouch,1,3.5,Eco,5.0,0.05,Campaign,0.1,Shopee,Credit_Card,1,2500.0,0.15,375.0,2125.0,2,0,5,-1,0,0.0,21.333333333333332,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.15,2125.0,7.661997558901893,Fashion_Credit_Card,Fashion_Shopee,Phuket_Credit_Card,0.0,0.0,0.0,price_q4,10-15%,<=3.8,1,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0
ORD00002,C0428,2025-01-01 08:00:00,66,Bronze,Songkhla,Home_Appliance,PureAir,1,4.6,Express,1.5,0.01,No Promotion,0.0,TV_Show,COD,2,3850.0,0.05,450.0,5031.75,1,0,8,-1,0,0.0,46.266666666666666,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0.05844155844155844,2515.875,8.523721833378938,Home_Appliance_COD,Home_Appliance_TV_Show,Songkhla_COD,0.0,0.0,0.0,price_q5,<=5%,4.2-4.6,1,1,1,0.01,0.0,0.0,0.0,0.0,0.0,1
ORD00003,C0013,2025-01-01 08:00:00,67,Silver,Khon Kaen,Cosmetics,GlowUp,1,4.9,Express,1.5,0.01,No Promotion,0.0,Mobile_App,COD,1,450.0,0.1,45.0,405.0,2,0,8,-1,0,0.0,17.166666666666668,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0.1,405.0,6.0063531596017325,Cosmetics_COD,Cosmetics_Mobile_App,Khon Kaen_COD,0.5,0.5,1.0,price_q1,5-10%,>4.6,0,1,0,0.01,0.5,0.5,1.0,0.5,1.0,0
ORD00004,C0332,2025-01-01 10:00:00,43,Bronze,Songkhla,Home_Appliance,BlendIt,1,3.9,Eco,5.0,0.05,No Promotion,0.0,TikTok,COD,1,1100.0,0.05,55.0,1045.0,2,0,10,-1,0,0.0,32.56666666666667,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0,1,0.05,1045.0,6.952728644624869,Home_Appliance_COD,Home_Appliance_TikTok,Songkhla_COD,1.0,0.3333333333333333,0.0,price_q2,<=5%,3.8-4.2,0,1,1,0.05,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0
ORD00005,C0244,2025-01-01 13:00:00,66,Bronze,Chiang Mai,Home_Appliance,PureAir,1,4.6,Standard,3.0,0.02,Campaign,0.1,Mobile_App,Credit_Card,2,3850.0,0.15,562.5,5031.75,3,0,13,-1,0,0.0,66.36666666666666,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.07305194805194805,2515.875,8.523721833378938,Home_Appliance_Credit_Card,Home_Appliance_Mobile_App,Chiang Mai_Credit_Card,0.5,1.0,0.25,price_q5,10-15%,4.2-4.6,1,0,0,0.02,0.25,1.0,0.0,0.0,0.25,0
ORD00006,C0008,2025-01-01 14:00:00,58,Silver,Remote_Area,Home_Appliance,PureAir,1,4.6,Standard,3.0,0.02,No Promotion,0.0,TV_Show,Bank_Transfer,1,3850.0,0.1,450.0,4050.0,3,0,14,-1,0,0.0,37.5,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.11688311688311688,4050.0,8.30671904320269,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Remote_Area_Bank_Transfer,0.3333333333333333,0.5,0.0,price_q5,5-10%,4.2-4.6,1,0,0,0.02,0.2,0.5,0.2,1.0,0.0,0
ORD00007,C0120,2025-01-01 16:00:00,31,Silver,Chonburi,Home_Appliance,CookEasy,1,4.3,Standard,3.0,0.02,Campaign,0.1,TV_Show,Bank_Transfer,2,1500.0,0.2,562.5,2400.0,3,0,16,-1,0,0.0,55.9,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.1875,1200.0,7.783640596221253,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Chonburi_Bank_Transfer,0.25,0.16666666666666666,0.0,price_q4,15-25%,4.2-4.6,1,0,0,0.02,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0
ORD00008,C0271,2025-01-01 19:00:00,26,Silver,Nonthaburi,Home_Appliance,PureAir,1,4.6,Standard,3.0,0.02,Campaign,0.1,TikTok,Bank_Transfer,1,3850.0,0.2,562.5,3600.0,3,0,19,-1,0,0.0,27.7,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.1461038961038961,3600.0,8.188966863648876,Home_Appliance_Bank_Transfer,Home_Appliance_TikTok,Nonthaburi_Bank_Transfer,0.2,0.3333333333333333,0.0,price_q5,15-25%,4.2-4.6,1,0,0,0.02,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0
ORD00009,C0052,2025-01-01 21:00:00,54,Bronze,Nonthaburi,Home_Appliance,HomePro,1,4.1,Express,1.5,0.01,No Promotion,0.0,TV_Show,COD,2,2200.0,0.05,220.0,4180.0,3,0,21,-1,0,0.0,11.233333333333333,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0.05,2090.0,8.338305731356565,Home_Appliance_COD,Home_Appliance_TV_Show,Nonthaburi_COD,0.16666666666666666,0.125,0.5,price_q5,<=5%,3.8-4.2,1,1,0,0.01,0.0,0.125,0.3333333333333333,0.3333333333333333,0.5,0
ORD00010,C0243,2025-01-01 22:00:00,57,Platinum,Remote_Area,Fashion,SilkTouch,1,3.5,Eco,5.0,0.05,No Promotion,0.0,Shopee,COD,2,2500.0,0.2,562.5,4000.0,1,0,22,-1,0,0.0,30.866666666666667,1,2,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0,1,0.1125,2000.0,8.294299608857235,Fashion_COD,Fashion_Shopee,Remote_Area_COD,0.0,0.0,0.0,price_q5,15-25%,<=3.8,1,1,1,0.05,0.1111111111111111,0.0,0.25,0.0,0.0,0
ORD00011,C0164,2025-01-02 07:00:00,64,Silver,Chonburi,Cosmetics,SunSafe,0,4.5,Eco,5.0,0.05,No Promotion,0.0,Shopee,Credit_Card,2,650.0,0.1,130.0,1170.0,2,0,7,-1,0,0.0,4.566666666666666,1,3,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.1,585.0,7.065613363597717,Cosmetics_Credit_Card,Cosmetics_Shopee,Chonburi_Credit_Card,0.0,0.1,0.0,price_q2,5-10%,4.2-4.6,0,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0
ORD00012,C0379,2025-01-02 11:00:00,25,Silver,Remote_Area,Home_Appliance,HomePro,1,4.1,Eco,5.0,0.05,No Promotion,0.0,TikTok,COD,2,2200.0,0.1,440.0,3960.0,1,0,11,-1,0,0.0,20.5,1,3,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0.1,1980.0,8.284251797621916,Home_Appliance_COD,Home_Appliance_TikTok,Remote_Area_COD,0.14285714285714285,0.0,0.0,price_q5,5-10%,3.8-4.2,1,1,1,0.05,0.0,0.0,0.2,0.0,0.0,0
ORD00013,C0307,2025-01-02 19:00:00,66,Bronze,Chonburi,Fashion,SilkTouch,1,3.5,Standard,3.0,0.02,No Promotion,0.0,TV_Show,Bank_Transfer,1,2500.0,0.05,125.0,2375.0,1,0,19,-1,0,0.0,58.06666666666667,1,3,0,0,0,0.0,-1,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0.05,2375.0,7.773173680482536,Fashion_Bank_Transfer,Fashion_TV_Show,Chonburi_Bank_Transfer,0.0,0.0,0.0,price_q4,<=5%,<=3.8,1,0,0,0.02,0.08333333333333333,0.0,0.0,0.25,0.0,1
