order_id,customer_id,order_date,gender,age,membership_tier,preferred_channel,province,customer_age_days,category,brand,is_fragile,product_rating,courier_name,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,is_returned
ORD_S2_000001,C_S2_04684,2025-01-01 01:00:00,Female,58,Bronze,App,Songkhla,1614,Home_Appliance,CookEasy,1,4.3,SafeLogistics,Standard,3.0,0.02,Nationwide,Campaign,0.15,TikTok,COD,1,1500.0,0.05,0.15,0.2,300.0,1200.0,1,0,1,-1,0,0.0,0
ORD_S2_000002,C_S2_00745,2025-01-01 02:00:00,Male,29,Bronze,App,Chonburi,1410,Cosmetics,SunSafe,0,4.5,SafeLogistics,Standard,3.0,0.02,Nationwide,No Promotion,0.0,TikTok,Bank_Transfer,2,650.0,0.05,0.0,0.05,65.0,1235.0,1,1,2,-1,0,0.0,1
ORD_S2_000003,C_S2_03612,2025-01-01 04:00:00,Female,56,Bronze,Web,Phuket,782,Supplement,OmegaPlus,0,4.6,SafeLogistics,Standard,3.0,0.02,Nationwide,No Promotion,0.0,Shopee,COD,2,750.0,0.05,0.0,0.05,75.0,1425.0,2,0,4,-1,0,0.0,0
ORD_S2_000004,C_S2_00336,2025-01-01 06:00:00,Other,29,Silver,Web,Phuket,914,Supplement,OmegaPlus,0,4.6,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,TV_Show,COD,2,750.0,0.05,0.0,0.05,75.0,1425.0,1,0,6,-1,0,0.0,0
ORD_S2_000005,C_S2_01631,2025-01-01 08:00:00,Female,59,Bronze,LINE,Songkhla,1040,Supplement,GlowDrink,0,4.3,FastShip,Express,1.5,0.01,Nationwide,No Promotion,0.0,TV_Show,Credit_Card,2,1200.0,0.05,0.0,0.05,120.0,2280.0,3,0,8,-1,0,0.0,0
ORD_S2_000006,C_S2_02592,2025-01-01 08:00:00,Male,52,Bronze,App,Songkhla,1648,Electronics,TimeX,1,4.7,FastShip,Express,1.5,0.01,Nationwide,No Promotion,0.0,Shopee,Bank_Transfer,2,3500.0,0.15,0.0,0.15,562.5,5031.75,1,0,8,-1,0,0.0,0
ORD_S2_000007,C_S2_03555,2025-01-01 08:00:00,Female,25,Silver,App,Phuket,1922,Fashion,SilkTouch,1,3.5,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,TV_Show,Bank_Transfer,2,2500.0,0.1,0.0,0.1,500.0,4500.0,1,0,8,-1,0,0.0,0
ORD_S2_000008,C_S2_04056,2025-01-01 08:00:00,Female,39,Silver,Web,Remote_Area,843,Cosmetics,GlowUp,1,4.9,EcoDelivery,Eco,5.0,0.05,Bangkok Only,Campaign,0.1,TV_Show,Credit_Card,1,450.0,0.1,0.1,0.2,90.0,360.0,3,0,8,-1,0,0.0,0
ORD_S2_000009,C_S2_00083,2025-01-01 14:00:00,Female,37,Bronze,Web,Bangkok,931,Home_Appliance,PureAir,1,4.6,FastShip,Express,1.5,0.01,Nationwide,No Promotion,0.0,Shopee,Bank_Transfer,2,3850.0,0.05,0.0,0.05,385.0,5031.75,3,0,14,-1,0,0.0,0
ORD_S2_000010,C_S2_00172,2025-01-01 16:00:00,Male,56,Silver,TV,Chonburi,2028,Home_Appliance,HomePro,1,4.1,EcoDelivery,Eco,5.0,0.05,Bangkok Only,No Promotion,0.0,TikTok,COD,2,2200.0,0.15,0.0,0.15,562.5,3837.5,3,0,16,-1,0,0.0,0
