column,value,clean_dataset_s2_share,real_data_s2_share,share_gap
category,Cosmetics,0.20638,0.21008,0.003699999999999981
category,Electronics,0.19464,0.19476,0.00011999999999998123
category,Fashion,0.1932,0.19018,-0.0030200000000000227
category,Home_Appliance,0.19766,0.19822,0.0005600000000000049
category,Supplement,0.20812,0.20676,-0.00136
payment_method,Bank_Transfer,0.33728,0.3309,-0.006379999999999997
payment_method,COD,0.33346,0.34068,0.007220000000000004
payment_method,Credit_Card,0.32926,0.32842,-0.0008400000000000074
channel_type,Mobile_App,0.2471,0.24732,0.00022000000000002573
channel_type,Shopee,0.24804,0.24856,0.0005199999999999927
channel_type,TV_Show,0.25228,0.24884,-0.0034399999999999986
channel_type,TikTok,0.25258,0.25528,0.00269999999999998
province,Bangkok,0.0898,0.0906,0.0007999999999999952
province,Chiang Mai,0.1236,0.1202,-0.0034000000000000002
province,Chonburi,0.1214,0.1262,0.004800000000000013
province,Khon Kaen,0.1204,0.1174,-0.002999999999999989
province,Nonthaburi,0.1186,0.105,-0.013600000000000001
province,Phuket,0.133,0.1454,0.012399999999999994
province,Remote_Area,0.159,0.1662,0.007199999999999984
province,Songkhla,0.1342,0.129,-0.00520000000000001
membership_tier,Bronze,0.4606,0.4608,0.00019999999999997797
membership_tier,Gold,0.1674,0.1704,0.0030000000000000027
membership_tier,Platinum,0.052,0.0436,-0.008399999999999998
membership_tier,Silver,0.32,0.3252,0.005199999999999982
courier_type,Eco,0.33106,0.32656,-0.004500000000000004
courier_type,Express,0.3352,0.3343,-0.0009000000000000119
courier_type,Standard,0.33374,0.33914,0.005400000000000016
hist_order_count,mean,4.5,4.5,0.0
hist_return_rate,mean,0.2606232380952381,0.2593384126984127,-0.0012848253968253953
delay_days,mean,1.5163,1.49208,-0.02421999999999991
risk_score,mean,0.27789240000000004,0.27865840000000003,0.0007659999999999889
total_amount,mean,1934.12047,1939.12372,5.00324999999998
product_rating,mean,4.295661999999999,4.295205999999999,-0.0004559999999997899
is_returned,mean,0.291,0.291,0.0
