order_hour,channel_type,payment_method,quantity,unit_price,log_unit_price,promo_discount_pct,total_amount,log_total_amount,is_repurchased_item,days_since_last_order,membership_tier,province,gender_province,customer_age_days,age,category,is_fragile,product_rating,is_peak_hour,is_fashion_tv,is_remote_area,low_rating_alert,is_cod,is_high_risk_customer,is_high_discount,is_first_order,order_dayofweek,is_weekend,return_rate_by_category,delivery_time_expected_days,is_long_distance_cod,is_impulse_buy,is_low_commitment,category_payment,category_channel,province_payment,total_orders_before,total_returns_before,customer_return_ratio,days_since_last_return,hist_spend_sum_30d,hist_order_count_30d,hist_return_rate_30d,hist_spend_sum_60d,hist_order_count_60d,hist_return_rate_60d,hist_spend_sum_180d,hist_order_count_180d,hist_return_rate_180d,is_returned
5,Shopee,Credit_Card,1,2500.0,7.824445930877619,0.15,2125.0,7.661997558901893,0,-1,Bronze,Phuket,Female_Phuket,1144,21,Fashion,True,3.5,0,0,0,1,0,0,0,1,2,0,0.291,2,0,0,0,Fashion_Credit_Card,Fashion_Shopee,Phuket_Credit_Card,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,TV_Show,COD,2,4500.0,8.412054873292933,0.05,8550.0,9.053803514155955,0,-1,Bronze,Songkhla,Female_Songkhla,1892,66,Home_Appliance,True,4.6,1,0,0,0,1,0,0,1,2,0,0.291,1,1,0,0,Home_Appliance_COD,Home_Appliance_TV_Show,Songkhla_COD,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,Mobile_App,COD,1,450.0,6.111467339502679,0.1,405.0,6.0063531596017325,0,-1,Silver,Khon Kaen,Male_Khon Kaen,1019,67,Cosmetics,True,4.9,0,0,0,0,1,0,0,1,2,0,0.291,2,0,0,0,Cosmetics_COD,Cosmetics_Mobile_App,Khon Kaen_COD,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,TikTok,COD,1,1100.0,7.00397413672268,0.05,1045.0,6.952728644624869,0,-1,Bronze,Songkhla,Male_Songkhla,1481,43,Home_Appliance,True,3.9,0,0,0,1,1,0,0,1,2,0,1.0,2,1,0,0,Home_Appliance_COD,Home_Appliance_TikTok,Songkhla_COD,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Mobile_App,Credit_Card,2,4500.0,8.412054873292933,0.15,7650.0,8.942591637231851,0,-1,Bronze,Chiang Mai,Female_Chiang Mai,2495,66,Home_Appliance,True,4.6,0,0,0,0,0,0,0,1,2,0,0.5,3,0,0,0,Home_Appliance_Credit_Card,Home_Appliance_Mobile_App,Chiang Mai_Credit_Card,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,TV_Show,Bank_Transfer,1,4500.0,8.412054873292933,0.1,4050.0,8.30671904320269,0,-1,Silver,Remote_Area,Female_Remote_Area,1629,58,Home_Appliance,True,4.6,0,0,1,0,0,0,0,1,2,0,0.3333333333333333,3,0,0,0,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Remote_Area_Bank_Transfer,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,TV_Show,Bank_Transfer,2,1500.0,7.313886831633462,0.2,2400.0,7.783640596221253,0,-1,Silver,Chonburi,Female_Chonburi,2181,31,Home_Appliance,True,4.3,0,0,0,0,0,0,0,1,2,0,0.25,3,0,0,0,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Chonburi_Bank_Transfer,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,TikTok,Bank_Transfer,1,4500.0,8.412054873292933,0.2,3600.0,8.188966863648876,0,-1,Silver,Nonthaburi,Female_Nonthaburi,1335,26,Home_Appliance,True,4.6,0,0,0,0,0,0,0,1,2,0,0.2,3,0,0,0,Home_Appliance_Bank_Transfer,Home_Appliance_TikTok,Nonthaburi_Bank_Transfer,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,TV_Show,COD,2,2200.0,7.696667081526462,0.05,4180.0,8.338305731356565,0,-1,Bronze,Nonthaburi,Male_Nonthaburi,841,54,Home_Appliance,True,4.1,0,0,0,0,1,0,0,1,2,0,0.16666666666666666,3,0,0,0,Home_Appliance_COD,Home_Appliance_TV_Show,Nonthaburi_COD,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,Shopee,COD,2,2500.0,7.824445930877619,0.2,4000.0,8.294299608857235,0,-1,Platinum,Remote_Area,Female_Remote_Area,1430,57,Fashion,True,3.5,0,0,1,1,1,0,0,1,2,0,0.0,1,0,0,0,Fashion_COD,Fashion_Shopee,Remote_Area_COD,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
