order_hour,quantity,unit_price,log_unit_price,promo_discount_pct,total_amount,log_total_amount,is_repurchased_item,days_since_last_order,membership_tier,customer_age_days,age,is_fragile,product_rating,is_peak_hour,is_fashion_tv,is_remote_area,low_rating_alert,is_cod,is_high_risk_customer,is_high_discount,is_first_order,order_dayofweek,is_weekend,return_rate_by_category,delivery_time_expected_days,is_long_distance_cod,is_impulse_buy,is_low_commitment,total_orders_before,total_returns_before,customer_return_ratio,days_since_last_return,hist_spend_sum_30d,hist_order_count_30d,hist_return_rate_30d,hist_spend_sum_60d,hist_order_count_60d,hist_return_rate_60d,hist_spend_sum_180d,hist_order_count_180d,hist_return_rate_180d,channel_type_Shopee,channel_type_TV_Show,channel_type_TikTok,payment_method_COD,payment_method_Credit_Card,province_Chiang Mai,province_Chonburi,province_Khon Kaen,province_Nonthaburi,province_Phuket,province_Remote_Area,province_Songkhla,category_Electronics,category_Fashion,category_Home_Appliance,category_Supplement,gender_province_Female_Chiang Mai,gender_province_Female_Chonburi,gender_province_Female_Khon Kaen,gender_province_Female_Nonthaburi,gender_province_Female_Phuket,gender_province_Female_Remote_Area,gender_province_Female_Songkhla,gender_province_Male_Bangkok,gender_province_Male_Chiang Mai,gender_province_Male_Chonburi,gender_province_Male_Khon Kaen,gender_province_Male_Nonthaburi,gender_province_Male_Phuket,gender_province_Male_Remote_Area,gender_province_Male_Songkhla,gender_province_Other_Chiang Mai,gender_province_Other_Chonburi,gender_province_Other_Khon Kaen,gender_province_Other_Nonthaburi,gender_province_Other_Phuket,gender_province_Other_Remote_Area,gender_province_Other_Songkhla,category_payment_Cosmetics_COD,category_payment_Cosmetics_Credit_Card,category_payment_Electronics_Bank_Transfer,category_payment_Electronics_COD,category_payment_Electronics_Credit_Card,category_payment_Fashion_Bank_Transfer,category_payment_Fashion_COD,category_payment_Fashion_Credit_Card,category_payment_Home_Appliance_Bank_Transfer,category_payment_Home_Appliance_COD,category_payment_Home_Appliance_Credit_Card,category_payment_Supplement_Bank_Transfer,category_payment_Supplement_COD,category_payment_Supplement_Credit_Card,category_channel_Cosmetics_Shopee,category_channel_Cosmetics_TV_Show,category_channel_Cosmetics_TikTok,category_channel_Electronics_Mobile_App,category_channel_Electronics_Shopee,category_channel_Electronics_TV_Show,category_channel_Electronics_TikTok,category_channel_Fashion_Mobile_App,category_channel_Fashion_Shopee,category_channel_Fashion_TV_Show,category_channel_Fashion_TikTok,category_channel_Home_Appliance_Mobile_App,category_channel_Home_Appliance_Shopee,category_channel_Home_Appliance_TV_Show,category_channel_Home_Appliance_TikTok,category_channel_Supplement_Mobile_App,category_channel_Supplement_Shopee,category_channel_Supplement_TV_Show,category_channel_Supplement_TikTok,province_payment_Bangkok_COD,province_payment_Bangkok_Credit_Card,province_payment_Chiang Mai_Bank_Transfer,province_payment_Chiang Mai_COD,province_payment_Chiang Mai_Credit_Card,province_payment_Chonburi_Bank_Transfer,province_payment_Chonburi_COD,province_payment_Chonburi_Credit_Card,province_payment_Khon Kaen_Bank_Transfer,province_payment_Khon Kaen_COD,province_payment_Khon Kaen_Credit_Card,province_payment_Nonthaburi_Bank_Transfer,province_payment_Nonthaburi_COD,province_payment_Nonthaburi_Credit_Card,province_payment_Phuket_Bank_Transfer,province_payment_Phuket_COD,province_payment_Phuket_Credit_Card,province_payment_Remote_Area_Bank_Transfer,province_payment_Remote_Area_COD,province_payment_Remote_Area_Credit_Card,province_payment_Songkhla_Bank_Transfer,province_payment_Songkhla_COD,province_payment_Songkhla_Credit_Card,is_returned,dataset_split
8,0.9995001249375232,-0.3989640858464646,-0.12064045786875696,1.9042331732665811,-0.1755962511328032,0.18038444016425734,0,-0.24729661978880801,4,0.1171925380318016,-0.4199764104135564,True,-1.0400805551346488,0,0,0,1,0,0,0,0,-0.5068999981137501,0,-1.3180298851726784,0.003401177949829173,0,0,0,-0.8162865663986753,-0.7779953770204306,-0.8357355375852039,-0.6426610923351842,0.9146613309265117,0.6194624828106625,-0.6518962432655195,0.4381091710655249,0.060488202000900326,-0.7044335667748325,-0.32234528203829454,-0.6667424525579349,-0.8163197690303283,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,train
12,0.9995001249375232,-0.3989640858464646,-0.12064045786875696,-0.888238790462977,0.024773607939410195,0.3992474471952432,0,-0.7474598590766753,1,-1.7512210283718803,-0.4857931178909982,True,-1.0400805551346488,0,0,0,1,0,1,0,0,-0.5068999981137501,0,0.05132472690236782,-1.23339080380622,0,0,0,-0.27277491170126356,0.3638066806136632,0.9915031097924537,-0.5454239527066075,-0.9928495192154358,-0.5022441406581698,1.9148048481265285,-1.0865581183236943,-0.7514339725078287,2.078327358552262,0.43784413536282124,0.20997346139069747,0.8727182851484994,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,train
8,-1.0005001250625234,1.8502784789143796,1.4978612133344609,0.04258519744687572,0.6683858825350046,0.9217816423583874,0,-0.45190885404293557,2,-0.004156194074645733,1.422891398954815,True,1.0587072973252252,1,0,0,0,0,0,0,0,-1.5017969522133576,0,-0.7154692877681345,-1.23339080380622,0,0,0,-1.088042393747381,-0.7779953770204306,-0.8357355375852039,-0.6426610923351842,0.4137798668243932,-0.5022441406581698,-0.6518962432655195,0.03775622726913631,-0.7514339725078287,-0.7044335667748325,-0.5614650412399882,-1.105100409532251,-0.8163197690303283,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
8,0.9995001249375232,-0.3052456456480961,0.0009898406901681395,-0.888238790462977,0.14013807225371486,0.5100694286226537,0,-0.7929292444664815,1,-0.1719029708100288,-0.7490599478007656,False,0.009313371095287622,0,0,0,0,0,1,0,0,0.9854454330356612,1,0.3742576900700519,1.2401931597058784,0,0,0,-0.27277491170126356,0.3638066806136632,0.9915031097924537,-0.5732059926004865,-0.8876720471421633,-0.5022441406581698,1.9148048481265285,-0.6546224537323925,0.060488202000900326,2.078327358552262,-0.7617642907542117,-0.22838449558361867,1.435730969874775,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,train
7,0.9995001249375232,1.8502784789143796,1.4978612133344609,1.9042331732665811,2.155980290798407,1.6547526696777322,0,-0.8156639371613845,4,-0.2325773368632525,-0.15670958050378903,True,1.0587072973252252,0,0,0,0,0,1,0,0,0.48799695598585746,0,-0.9371499620973631,1.2401931597058784,0,0,0,-0.8162865663986753,-0.20709434820338374,0.9915031097924537,-0.5870970125474261,-0.5310994194962954,-0.5022441406581698,1.9148048481265285,-0.4001298050081637,0.060488202000900326,0.6869468958887145,-0.8230022778668405,-0.6667424525579349,0.8727182851484994,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,train
20,0.9995001249375232,-1.1580834514532494,-1.98233237271379,1.9042331732665811,-0.9625033340345867,-1.5163837972881478,0,-0.7247251663817723,4,1.305696296603771,0.30400737183830384,False,0.5340103342102565,0,0,0,0,0,1,0,0,-0.5068999981137501,0,-0.030435312506543574,-1.23339080380622,0,0,0,2.4447833617857953,3.218311824698898,0.9915031097924537,-0.531532932759668,0.2855053455299482,2.862875729748327,1.9148048481265285,0.6675797608024793,2.4962547255270877,2.078327358552262,3.7076974888975656,2.840121203236594,0.8727182851484994,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
10,-1.0005001250625234,-0.7269786265407544,-0.6558857815065513,-0.888238790462977,-0.8116187583392986,-0.970827284624411,1,1.0258461711257634,1,1.5394710599264858,1.2254412765224896,False,0.7963588157677396,1,0,0,0,0,1,0,0,-0.009451521063946335,0,0.4695609496219138,0.003401177949829173,0,0,0,0.8142483976935599,0.9347077094307101,0.5346934479480393,1.093716401032258,-0.22759273964783175,-0.5022441406581698,-0.6518962432655195,-0.390822819653141,0.060488202000900326,0.6869468958887145,0.23681586219249504,1.525047332313646,0.1488448333575732,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
11,0.9995001249375232,-0.3989640858464646,-0.12064045786875696,-0.888238790462977,0.024773607939410195,0.3992474471952432,0,0.843968629566539,1,-1.069526680362132,1.2254412765224896,True,-1.0400805551346488,0,0,0,1,0,1,0,0,0.9854454330356612,1,0.8752135543636291,0.003401177949829173,0,0,0,0.2707367429961482,0.9347077094307101,0.9915031097924537,0.4269474435791602,-0.7572977941003389,0.6194624828106625,1.9148048481265285,-0.8982823817974963,0.060488202000900326,2.078327358552262,-0.958145038116883,-0.22838449558361867,2.561756339327327,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,train
14,-1.0005001250625234,-0.3052456456480961,0.0009898406901681395,-0.888238790462977,-0.5520487136321132,-0.37260305167310426,0,0.27560131219396244,1,-0.0469851583475095,1.1596245690450477,False,0.009313371095287622,0,0,0,0,1,1,0,0,-1.5017969522133576,0,0.3683028978414283,0.003401177949829173,0,0,0,1.0860042250422657,2.647410795881851,1.6005826589183394,0.07967194490567174,-0.21671231150232081,0.6194624828106625,0.6314543024305045,2.4113426398607585,1.6843325510183584,0.6869468958887145,2.0791497691210923,1.0866893753393299,1.435730969874775,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,train
8,0.9995001249375232,-0.8206970667391229,-0.8558092563568276,0.04258519744687572,-0.5338332718982756,-0.33953286603352645,0,1.957968571616789,2,1.5573164617068458,0.5014574942706294,False,0.5340103342102565,1,0,1,0,0,0,0,0,0.48799695598585746,0,-0.26334852036718465,1.2401931597058784,0,0,0,-0.0010190843525576857,-0.7779953770204306,-0.8357355375852039,-0.6426610923351842,1.3071202829821351,-0.5022441406581698,-0.6518962432655195,0.7518003495889147,-0.7514339725078287,-0.7044335667748325,1.7021534109589709,-0.22838449558361867,-0.8163197690303283,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,train
5,0.9995001249375232,1.1942493975258,1.1857646149181074,0.04258519744687572,1.8159587117667721,1.5205241050667004,0,-0.9066027079409968,2,1.4109841671078946,0.5672742017480712,True,1.3210557788827084,0,0,0,0,1,0,0,1,1.482893910085465,1,-4.895733432262161,1.2401931597058784,0,0,0,-1.359798221096087,-0.7779953770204306,-0.8357355375852039,-0.6426610923351842,-1.0980269912887084,-1.6239507641270021,-0.6518962432655195,-1.1706261335797195,-1.5633561470165578,-0.7044335667748325,-1.2831984607816853,-1.543458366506567,-0.8163197690303283,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,train
21,0.9995001249375232,-0.5957728102630384,-0.41672813020319965,0.04258519744687572,-0.27153091093101445,0.06060022651269701,0,0.29833600488886547,2,0.9434346404624651,-1.5388604375300676,False,-0.2530351104621956,0,0,0,0,0,1,0,0,0.48799695598585746,0,-1.1269767717777803,1.2401931597058784,0,0,0,-0.8162865663986753,-0.20709434820338374,0.9915031097924537,0.09356296485261129,-0.11191660883766262,0.6194624828106625,0.6314543024305045,-0.3824312754805794,0.060488202000900326,0.6869468958887145,-0.812431434853351,-0.6667424525579349,0.8727182851484994,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,train
17,-1.0005001250625234,-0.3052456456480961,0.0009898406901681395,0.9734091853567283,-0.6249104805674635,-0.5141990447013264,0,-0.8611333225511907,3,1.0380152698983727,-0.4857931178909982,True,-0.7777320735771643,0,0,0,0,0,1,0,0,0.9854454330356612,1,0.6928549962057893,-1.23339080380622,0,0,0,1.3577600523909716,3.218311824698898,1.7223985687435166,-0.6148790524413051,-0.8870993930292417,-0.5022441406581698,1.9148048481265285,-1.0020323824764386,-0.7514339725078287,2.078327358552262,-1.1825020682824965,-1.105100409532251,2.561756339327327,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,train
22,-1.0005001250625234,-0.8206970667391229,-0.8558092563568276,-0.888238790462977,-0.869300990496451,-1.1528963741038638,0,-0.7701945517715785,1,1.4823657742293341,1.5545248139096988,False,0.5340103342102565,0,0,1,0,1,1,0,0,1.482893910085465,1,-0.5164090904112756,-1.23339080380622,0,0,0,0.2707367429961482,0.3638066806136632,0.38242356066656774,2.8995489941343977,-0.69907795928664,-0.5022441406581698,-0.6518962432655195,-0.8517474550223825,-0.7514339725078287,-0.7044335667748325,-0.36900279602886893,-0.22838449558361867,-0.8163197690303283,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,train
14,0.9995001249375232,-0.8206970667391229,-0.8558092563568276,0.9734091853567283,-0.5733000623215904,-0.4123019934840548,0,0.025519692550028738,3,0.040457310376254024,1.6203415213871406,False,0.5340103342102565,0,0,1,0,0,0,0,0,-1.5017969522133576,0,-0.6069364665961786,0.003401177949829173,0,0,0,1.3577600523909716,-0.20709434820338374,-0.4702878081096724,-0.07312927451066317,-0.9844505922259187,-0.5022441406581698,1.9148048481265285,-1.079844882985645,-0.7514339725078287,2.078327358552262,-0.8323884574391631,-0.22838449558361867,0.30970560042222345,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,train
