version,feature,in_clean_source,in_df_engineered,used_in_model,status,reason
V2,age,True,True,True,USED,model input feature
V2,age_group,False,True,True,USED,model input feature
V2,amount_per_item,False,True,True,USED,model input feature
V2,avg_delivery_days,True,True,True,USED,model input feature
V2,brand,True,True,True,USED,model input feature
V2,campaign_discount_pct,True,True,True,USED,model input feature
V2,category,True,True,True,USED,model input feature
V2,category_channel,False,True,True,USED,model input feature
V2,category_payment,False,True,True,USED,model input feature
V2,channel_type,True,True,True,USED,model input feature
V2,courier_type,True,True,True,USED,model input feature
V2,coverage_region,True,True,True,USED,model input feature
V2,customer_age_days,True,True,True,USED,model input feature
V2,customer_tenure_months,False,True,True,USED,model input feature
V2,damage_rate,True,True,True,USED,model input feature
V2,days_since_last_order,True,True,True,USED,model input feature
V2,days_since_last_return,False,True,True,USED,model input feature
V2,delivery_time_expected_days,True,True,True,USED,model input feature
V2,discount_amount_ratio,False,True,True,USED,model input feature
V2,discount_applied_amount,True,True,True,USED,model input feature
V2,gender,True,True,True,USED,model input feature
V2,high_value_order,False,True,True,USED,model input feature
V2,hist_order_count,True,True,True,USED,model input feature
V2,hist_order_count_180d,False,True,True,USED,model input feature
V2,hist_order_count_30d,False,True,True,USED,model input feature
V2,hist_order_count_365d,False,True,True,USED,model input feature
V2,hist_order_count_60d,False,True,True,USED,model input feature
V2,hist_order_count_90d,False,True,True,USED,model input feature
V2,hist_return_count_180d,False,True,True,USED,model input feature
V2,hist_return_count_30d,False,True,True,USED,model input feature
V2,hist_return_count_365d,False,True,True,USED,model input feature
V2,hist_return_count_60d,False,True,True,USED,model input feature
V2,hist_return_count_90d,False,True,True,USED,model input feature
V2,hist_return_rate,True,True,True,USED,model input feature
V2,hist_return_rate_180d,False,True,True,USED,model input feature
V2,hist_return_rate_30d,False,True,True,USED,model input feature
V2,hist_return_rate_365d,False,True,True,USED,model input feature
V2,hist_return_rate_60d,False,True,True,USED,model input feature
V2,hist_return_rate_90d,False,True,True,USED,model input feature
V2,hist_spend_sum_180d,False,True,True,USED,model input feature
V2,hist_spend_sum_30d,False,True,True,USED,model input feature
V2,hist_spend_sum_365d,False,True,True,USED,model input feature
V2,hist_spend_sum_60d,False,True,True,USED,model input feature
V2,hist_spend_sum_90d,False,True,True,USED,model input feature
V2,is_bank_transfer,False,True,True,USED,model input feature
V2,is_cod,False,True,True,USED,model input feature
V2,is_credit_card,False,True,True,USED,model input feature
V2,is_fragile,True,True,True,USED,model input feature
V2,is_high_discount,False,True,True,USED,model input feature
V2,is_repurchased_item,True,True,True,USED,model input feature
V2,is_weekend,False,True,True,USED,model input feature
V2,log_total_amount,False,True,True,USED,model input feature
V2,logistics_risk,False,True,True,USED,model input feature
V2,low_rating_alert,False,True,True,USED,model input feature
V2,membership_tier,True,True,True,USED,model input feature
V2,order_dayofweek,False,True,True,USED,model input feature
V2,order_hour,True,True,True,USED,model input feature
V2,order_month,False,True,True,USED,model input feature
V2,payment_method,True,True,True,USED,model input feature
V2,preferred_channel,True,True,True,USED,model input feature
V2,product_rating,True,True,True,USED,model input feature
V2,promo_discount_rate,True,True,True,USED,model input feature
V2,promo_type,True,True,True,USED,model input feature
V2,province,True,True,True,USED,model input feature
V2,province_payment,False,True,True,USED,model input feature
V2,quantity,True,True,True,USED,model input feature
V2,tier_discount_pct,True,True,True,USED,model input feature
V2,tier_payment,False,True,True,USED,model input feature
V2,total_amount,True,True,True,USED,model input feature
V2,total_discount_pct,True,True,True,USED,model input feature
V2,unit_price,True,True,True,USED,model input feature
