source,feature,feature_group,status,reason,exists_in_df_engineered,exists_in_v2_preview,exists_in_clean_dataset
clean_dataset.csv,order_id,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,order_date,time,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,expected_delivery_date,logistics,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,delivery_date,logistics,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,customer_id,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,customer_name,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,customer_phone,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,preferred_channel,payment_channel,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,registration_date,time,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,product_id,product_category,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,product_name,product_category,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,is_fragile,product_category,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,supplier_id,other,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,supplier_name,other,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,supplier_contact,other,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,courier_id,logistics,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,coverage_region,customer_profile,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,promo_id,promotion_discount,query_or_audit_only,ใช้ join/query/audit ได้ แต่ไม่ส่งให้ model จำ identity โดยตรง,False,False,
clean_dataset.csv,promo_start_date,promotion_discount,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,promo_end_date,promotion_discount,not_used_or_replaced,ไม่ได้ใช้ตรง หรือถูกแทนด้วย engineered feature อื่น,False,False,
clean_dataset.csv,delivery_days,logistics,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,True,
clean_dataset.csv,delay_days,logistics,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,True,
clean_dataset.csv,return_id,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,return_date,time,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,return_reason,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,return_scenario,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,item_condition,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,return_status,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,refund_amount,price_amount,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,score_id,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,risk_score,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,risk_tier,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,scored_at,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
clean_dataset.csv,shap_values,other,dropped,เป็น post-event/leakage field จึงตัดออกเพื่อกันข้อมูลอนาคต,False,False,
df_engineered_v2_preview.csv,delivery_days,logistics,dropped_from_selected_v2,มีใน V2 preview แต่เป็น post-event/leakage field จึงตัดออกจาก selected model,False,,True
df_engineered_v2_preview.csv,delay_days,logistics,dropped_from_selected_v2,มีใน V2 preview แต่เป็น post-event/leakage field จึงตัดออกจาก selected model,False,,True
