feature,in_clean_dataset_v2_high_signal,in_df_engineered_v2_HIGH_ACCURACY,used_in_xgboost_model,status_reason
courier_id,True,False,False,dropped_identifier_to_avoid_identity_memorization
courier_name,True,False,False,dropped_identifier_to_avoid_identity_memorization
customer_id,True,True,False,dropped_identifier_to_avoid_identity_memorization
customer_name,True,False,False,dropped_identifier_to_avoid_identity_memorization
customer_phone,True,False,False,dropped_identifier_to_avoid_identity_memorization
dataset_split,False,True,False,metadata_split_marker_not_model_feature
delay_days,True,False,False,dropped_post_event_or_leakage
delivery_date,True,False,False,dropped_post_event_or_leakage
delivery_days,True,False,False,dropped_post_event_or_leakage
expected_delivery_date,True,False,False,dropped_raw_date_after_deriving_numeric_time_features
is_returned,True,True,False,target_only_not_input_feature
item_condition,True,False,False,dropped_post_event_or_leakage
order_date,True,True,False,not_used
order_id,True,True,False,dropped_identifier_to_avoid_identity_memorization
product_id,True,False,False,dropped_identifier_to_avoid_identity_memorization
product_name,True,False,False,dropped_identifier_to_avoid_identity_memorization
promo_end_date,True,False,False,dropped_raw_date_after_deriving_numeric_time_features
promo_id,True,False,False,dropped_identifier_to_avoid_identity_memorization
promo_name,True,False,False,dropped_identifier_to_avoid_identity_memorization
promo_start_date,True,False,False,dropped_raw_date_after_deriving_numeric_time_features
refund_amount,True,False,False,dropped_post_event_or_leakage
registration_date,True,False,False,dropped_raw_date_after_deriving_numeric_time_features
return_date,True,False,False,dropped_post_event_or_leakage
return_id,True,False,False,dropped_post_event_or_leakage
return_reason,True,False,False,dropped_post_event_or_leakage
return_scenario,True,False,False,dropped_post_event_or_leakage
return_status,True,False,False,dropped_post_event_or_leakage
risk_score,True,False,False,dropped_post_event_or_leakage
risk_tier,True,False,False,dropped_post_event_or_leakage
score_id,True,False,False,dropped_post_event_or_leakage
scored_at,True,False,False,dropped_post_event_or_leakage
shap_values,True,False,False,dropped_post_event_or_leakage
supplier_contact,True,False,False,dropped_identifier_to_avoid_identity_memorization
supplier_id,True,False,False,dropped_identifier_to_avoid_identity_memorization
supplier_name,True,False,False,dropped_identifier_to_avoid_identity_memorization
