threshold,accuracy,precision,recall,f1,cost,tn,fp,fn,tp,selection_score
0.2,0.776875,0.5706272310045895,0.9568191534843951,0.7149017728797317,134700,3977,1684,101,2238,0.7625354681247782
0.21,0.785,0.5804104962327877,0.9551090209491235,0.7220426632191338,133250,4046,1615,105,2234,0.7699286408855047
0.22,0.792125,0.5894179894179894,0.9525438221462164,0.7282235659421474,133100,4109,1552,111,2228,0.776354132626554
0.23,0.797625,0.5968262506724045,0.9486960239418555,0.7327059600462275,134950,4162,1499,120,2219,0.7811657721881362
0.24,0.802875,0.6039847161572053,0.9461308251389483,0.7372980176578378,135550,4210,1451,126,2213,0.7858994497457767
0.25,0.809,0.6124826629680998,0.943993159469859,0.7429340511440108,135350,4264,1397,131,2208,0.7915430551916801
0.26,0.8145,0.6203208556149733,0.9422830269345874,0.748133061778683,134950,4312,1349,135,2204,0.7966659451297062
0.27,0.8185,0.6266057664858693,0.9384352287302266,0.7514549811708319,137400,4353,1308,144,2195,0.8001729926875049
0.28,0.82275,0.6332079838009835,0.9358700299273194,0.7553485162180814,138400,4393,1268,150,2189,0.8040652227204536
0.29,0.826625,0.6395894428152493,0.9324497648567764,0.7587406505479214,140450,4432,1229,158,2181,0.8075390535358177
0.3,0.830375,0.6454383886255924,0.9315946985891407,0.7625546806649169,139850,4464,1197,160,2179,0.8111412264294803
0.31,0.833375,0.6505086774386595,0.9294570329200513,0.7653582115824679,140900,4493,1168,165,2174,0.8139084157673661
0.32,0.8365,0.6559757942511346,0.926891834117144,0.7682494684620836,142350,4524,1137,171,2168,0.816777112369935
0.33,0.840375,0.662484700122399,0.9256092347156905,0.7722489744961655,142150,4558,1103,174,2165,0.820518835729035
0.34,0.84325,0.6674899660389009,0.9243266353142369,0.77518823951237,142350,4584,1077,177,2162,0.8232809661705134
0.35,0.84675,0.6738519212746017,0.9221889696451475,0.7787003610108303,143200,4617,1044,182,2157,0.8266133530203715
0.36,0.8495,0.6793048973143759,0.9191962377084224,0.78125,145250,4646,1015,189,2150,0.8291399387481113
0.37,0.851125,0.683152520740268,0.9153484395040615,0.7823862598209391,148650,4668,993,198,2141,0.8304737284128645
0.38,0.85325,0.6882067851373183,0.910645575032065,0.7839528892160471,152750,4696,965,209,2130,0.8322579212222226
0.39,0.85525,0.6926590538336053,0.9076528430953399,0.7857142857142857,155100,4719,942,216,2123,0.8340633471167019
0.4,0.85725,0.6974595842956121,0.903805044890979,0.7873370577281191,158350,4744,917,225,2114,0.8358140589482138
0.41,0.858,0.7000332557366146,0.8999572466866183,0.7875046763935653,162100,4759,902,234,2105,0.8362899664758187
0.42,0.86125,0.7076715106454884,0.8952543822146216,0.7904869762174406,165750,4796,865,245,2094,0.8392921887878114
0.43,0.862125,0.7113543091655267,0.8892689183411714,0.7904237127113813,171700,4817,844,259,2080,0.8397567899092121
0.44,0.8645,0.717655220256677,0.8845660538691749,0.7924166985829184,175700,4847,814,270,2069,0.8418923101651519
