encoded_feature,importance
num__hist_return_rate,0.03402236
num__avg_delivery_days,0.029215768
num__is_high_discount,0.026390608
num__discount_amount_ratio,0.024394242
num__logistics_risk,0.018074183
num__damage_rate,0.01694464
cat__brand_SilkTouch,0.015788445
num__total_discount_pct,0.014673308
cat__province_Remote_Area,0.014239036
num__low_rating_alert,0.012302585
num__delivery_time_expected_days,0.010112241
num__is_cod,0.010000793
num__is_fragile,0.009870686
cat__province_payment_Remote_Area_COD,0.009724584
cat__category_payment_Electronics_COD,0.009353745
num__hist_return_rate_365d,0.008450919
num__tier_discount_pct,0.008346041
cat__category_Supplement,0.008136712
cat__payment_method_COD,0.007758823
cat__payment_method_Bank_Transfer,0.007343046
num__product_rating,0.007205468
cat__age_group_<20,0.0070463405
cat__province_payment_Bangkok_Bank_Transfer,0.006756727
cat__brand_ShieldCase,0.0060646962
cat__category_channel_Fashion_TikTok,0.0058971466
cat__membership_tier_Gold,0.0058725714
cat__brand_BoomBox,0.0058543114
cat__age_group_>50,0.0057618795
cat__category_Fashion,0.00574675
cat__category_channel_Supplement_Mobile_App,0.00564994
cat__tier_payment_Silver_Credit_Card,0.005562902
cat__province_Bangkok,0.00555401
cat__category_payment_Fashion_COD,0.0055523575
cat__category_payment_Home_Appliance_Bank_Transfer,0.005496372
cat__category_payment_Home_Appliance_COD,0.0054590954
num__is_repurchased_item,0.005446036
cat__province_payment_Bangkok_Credit_Card,0.005442998
cat__category_channel_Electronics_TikTok,0.0053702164
cat__membership_tier_Silver,0.0053592925
cat__age_group_20-30,0.005352152
cat__tier_payment_Gold_COD,0.0053058146
cat__tier_payment_Silver_COD,0.0052900794
cat__brand_MuscleFuel,0.005287512
num__hist_return_count_60d,0.005235275
cat__category_payment_Cosmetics_COD,0.005196089
cat__category_payment_Cosmetics_Bank_Transfer,0.0051607676
cat__tier_payment_Bronze_Bank_Transfer,0.005143935
cat__brand_GlowDrink,0.0051341485
cat__category_channel_Supplement_Shopee,0.0051305396
cat__category_Cosmetics,0.005129913
cat__category_channel_Supplement_TikTok,0.0051274947
