threshold,accuracy,precision,recall,f1,cost,tn,fp,fn,tp,selection_score
0.2,0.301875,0.2944528875379939,0.9940145361265498,0.45432340009770394,285550,90,5571,14,2325,0.37337000965564776
0.21,0.30475,0.2951569848735223,0.9927319367250962,0.455026455026455,285750,116,5545,17,2322,0.3754336780285346
0.22,0.308625,0.2960644007155635,0.9905942710560068,0.4558780127889818,286450,152,5509,22,2317,0.37816459329071467
0.23,0.3145,0.297332130429179,0.9863189397178281,0.45692216280451575,288600,209,5452,32,2307,0.38217638775688606
0.24,0.32,0.29850552306692657,0.9820436083796494,0.45784333266892563,290900,263,5398,42,2297,0.3859007408973356
0.25,0.32625,0.29977687360546,0.9764856776400171,0.45872665193814016,294250,326,5335,55,2284,0.3900474898043242
0.26,0.334625,0.30127863612147043,0.967079948696024,0.45942926779729865,300800,415,5246,77,2262,0.39535927164350476
0.27,0.342375,0.30262091326668467,0.9576742197520308,0.45991171337645004,307600,499,5162,99,2240,0.40018993451200496
0.28,0.353125,0.3053267435475014,0.9508336896109448,0.46222591707367766,310500,601,5060,115,2224,0.40770147957246705
0.29,0.364375,0.3082402234636871,0.943565626336041,0.46468049268344036,313650,708,4953,132,2207,0.41556518157526484
0.3,0.377125,0.3118952760387023,0.937152629328773,0.4680260488950571,315300,825,4836,147,2192,0.42473586381757894
0.31,0.38825,0.3142358586592991,0.9238991021804189,0.4689670138888889,324800,945,4716,178,2161,0.4317625557070301
0.32,0.402125,0.317992254989574,0.9127832407011544,0.4716668507677013,330950,1082,4579,204,2135,0.44125465684717396
0.33,0.411625,0.31962218159658745,0.8969645147498931,0.47130180837919805,343800,1195,4466,241,2098,0.4466940963451539
0.34,0.425375,0.32281858129315755,0.8794356562633604,0.47227643209734815,356750,1346,4315,282,2057,0.4552886324820664
0.35,0.437875,0.32613599742184984,0.8653270628473707,0.47372732592159156,366600,1479,4182,315,2024,0.4633665438805656
0.36,0.451,0.32956998173667607,0.8486532706284737,0.4747668022004305,378900,1623,4038,354,1985,0.47162677608799713
0.37,0.46525,0.3335050661171218,0.8302693458743052,0.47586375888262683,392550,1780,3881,397,1942,0.48058795534757176
0.38,0.48,0.3377872795296633,0.8106028217186833,0.4768611670020121,407350,1944,3717,443,1896,0.4898135437307024
0.39,0.492875,0.34133727373476175,0.7900812312954254,0.47671868953953306,423800,2095,3566,491,1848,0.4974399686218542
0.4,0.507625,0.34656693517453013,0.7725523728088927,0.4784853700516351,436350,2254,3407,532,1807,0.5070348777483605
0.41,0.5205,0.35134061569016883,0.7563061137238136,0.4797938703553024,448300,2395,3266,570,1769,0.5153223151095582
0.42,0.534,0.3568926437255306,0.7404873877725524,0.48164627363737483,459550,2540,3121,607,1732,0.5242280582308423
0.43,0.54475,0.36016312513414894,0.7174005985463874,0.4795655901686196,479550,2680,2981,661,1678,0.5298834812173602
0.44,0.555125,0.3642634623943035,0.6998717400598546,0.4791453241621543,493850,2804,2857,702,1637,0.5360317743436772
0.45,0.5695,0.371242134700536,0.6810602821718683,0.4805429864253394,507900,2963,2698,746,1593,0.5453846944148438
0.46,0.579375,0.37542496357455074,0.6609662248824284,0.4788601517732693,525100,3089,2572,793,1546,0.5508200125608417
0.47,0.594,0.38331193838254174,0.6383069687900812,0.478986204683991,543100,3259,2402,846,1493,0.5599585959035395
0.48,0.609,0.3930024410089504,0.6194955109020949,0.48091603053435117,556900,3423,2238,890,1449,0.5700853086371848
0.49,0.620125,0.39965596330275227,0.595981188542112,0.47846233053029,577200,3567,2094,945,1394,0.576261071077279
0.5,0.628,0.40310313355643446,0.5664814023086789,0.4710273729114824,605100,3699,1962,1014,1325,0.5787266102897156
0.51,0.6355,0.40720488903184304,0.5412569474134246,0.4647577092511013,628650,3818,1843,1073,1266,0.5814987198063903
0.52,0.646625,0.41643835616438357,0.519880290722531,0.4624453318121316,646700,3957,1704,1123,1216,0.5881316986916966
0.53,0.656375,0.4249084249084249,0.4959384352287302,0.45768396133359635,668000,4091,1570,1179,1160,0.5932104926691725
0.54,0.661625,0.4278996865203762,0.466866182129115,0.4465344510325087,696500,4201,1460,1247,1092,0.5933783973462678
0.55,0.66925,0.4358009201171058,0.44548952543822146,0.44059196617336155,715950,4312,1349,1297,1042,0.5969855399875715
0.56,0.674875,0.4413082437275986,0.42112013681060284,0.4309779041785167,739350,4414,1247,1354,985,0.59825353381903
0.57,0.68125,0.4486117876278617,0.3937580162462591,0.41939890710382516,765600,4529,1132,1418,921,0.5997366889149459
0.58,0.686375,0.45535714285714285,0.37067122702009403,0.40867310864954043,787850,4624,1037,1472,867,0.6007534354852666
0.59,0.69275,0.4665918023582257,0.3552800342026507,0.4033980582524272,801500,4711,950,1508,831,0.6044068499623259
0.6,0.699625,0.4805352798053528,0.337751175716118,0.3966859151393422,817200,4807,854,1549,790,0.6083274318545457
0.61,0.70125,0.4831905075807515,0.31338178708849934,0.3801867219917012,842200,4877,784,1606,733,0.6056760003641594
0.62,0.7025,0.4851985559566787,0.28730226592560926,0.3609022556390977,869150,4948,713,1667,672,0.6022165575464082
0.63,0.706875,0.49763779527559054,0.2702009405728944,0.35023552230534777,885400,5023,638,1707,632,0.6037936174500323
0.64,0.709,0.5047210300429185,0.25138948268490807,0.3356164383561644,904350,5084,577,1751,588,0.6026354842218241
0.65,0.711625,0.5152380952380953,0.23129542539546816,0.31926822071407496,924450,5152,509,1798,541,0.6018548800411359
0.66,0.71075,0.5131995776135164,0.20778110303548525,0.295800365185636,949550,5200,461,1853,486,0.5962157398264667
0.67,0.713125,0.5255813953488372,0.19324497648567765,0.28258830884651454,963900,5253,408,1887,452,0.5962963347153197
0.68,0.714,0.5338645418326693,0.1718683197947841,0.26002587322121606,986050,5310,351,1937,402,0.5932087745533955
0.69,0.716375,0.5520833333333334,0.1586147926464301,0.24642975755562935,999050,5360,301,1968,371,0.5939363376517232
0.7,0.7165,0.55810147299509,0.14578879863189398,0.2311864406779661,1012500,5391,270,1998,341,0.5917031240714163
0.71,0.714,0.5480225988700564,0.12441214194100043,0.20278745644599303,1036000,5421,240,2048,291,0.5837097260158048
0.72,0.7135,0.5494736842105263,0.1115861479264643,0.18550106609808104,1049700,5447,214,2078,261,0.5803358881869395
0.73,0.712,0.543640897755611,0.09320222317229586,0.1591240875912409,1069650,5478,183,2121,218,0.5739669081402936
0.74,0.711875,0.5491329479768786,0.08123129542539546,0.14152700186219738,1082300,5505,156,2149,190,0.5712960386551831
0.75,0.712875,0.5729166666666666,0.0705429670799487,0.12561857632280168,1093150,5538,123,2174,165,0.5715560831917987
0.76,0.712375,0.5826086956521739,0.0572894399315947,0.1043207473725185,1107300,5565,96,2205,134,0.5684885144444471
0.77,0.711625,0.5808080808080808,0.049166310389055154,0.09065825778478517,1116150,5578,83,2224,115,0.5654498538461067
0.78,0.712,0.610062893081761,0.04147071398033347,0.07766212970376302,1124100,5599,62,2242,97,0.5664229019910543
0.79,0.711875,0.6287878787878788,0.03548525010688328,0.06717927964386888,1130450,5612,49,2256,83,0.5664393714446028
0.8,0.711875,0.6634615384615384,0.029499786233433092,0.05648792468276709,1136750,5626,35,2270,69,0.5681134377067606
0.81,0.711375,0.6973684210526315,0.022659256092347157,0.04389233954451346,1144150,5638,23,2286,53,0.5690584133379926
