feature,feature_group,in_clean_dataset_exact,in_engineered_dataset_exact,encoded_or_generated,note
gender,customer_profile,True,True,False,model input feature
age,customer_profile,True,True,False,model input feature
membership_tier,customer_profile,True,True,False,model input feature
province,customer_profile,True,True,False,model input feature
customer_age_days,customer_profile,True,True,False,model input feature
category,product_category,True,True,False,model input feature
brand,product_category,True,True,False,model input feature
product_rating,product_category,True,True,False,model input feature
courier_name,logistics,True,True,False,model input feature
courier_type,logistics,True,True,False,model input feature
avg_delivery_days,logistics,True,True,False,model input feature
damage_rate,logistics,True,True,False,model input feature
promo_name,promotion_discount,True,True,False,model input feature
promo_type,promotion_discount,True,True,False,model input feature
promo_discount_rate,promotion_discount,True,True,False,model input feature
channel_type,payment_channel,True,True,False,model input feature
payment_method,payment_channel,True,True,False,model input feature
quantity,price_amount,True,True,False,model input feature
unit_price,price_amount,True,True,False,model input feature
tier_discount_pct,promotion_discount,True,True,False,model input feature
campaign_discount_pct,promotion_discount,True,True,False,model input feature
total_discount_pct,promotion_discount,True,True,False,model input feature
discount_applied_amount,promotion_discount,True,True,False,model input feature
total_amount,price_amount,True,True,False,model input feature
delivery_time_expected_days,logistics,True,True,False,model input feature
delivery_days,logistics,True,True,False,model input feature
delay_days,logistics,True,True,False,model input feature
is_repurchased_item,other,True,True,False,model input feature
order_hour,time,True,True,False,model input feature
days_since_last_order,customer_history,True,True,False,model input feature
hist_order_count,customer_history,True,True,False,model input feature
hist_return_rate,customer_history,True,True,False,model input feature
customer_tenure_months,customer_profile,False,True,False,model input feature
order_month,time,False,True,False,model input feature
order_dayofweek,time,False,True,False,model input feature
is_weekend,time,False,True,False,model input feature
age_group,customer_profile,False,True,False,model input feature
logistics_risk,logistics,False,True,False,model input feature
