feature,mean_abs_shap
damage_rate,0.99877274
cust_return_rate_pti,0.59302604
promo_discount_rate,0.5064452
hist_return_rate,0.36774912
payment_method_COD,0.32699358
avg_delivery_days,0.30030203
cust_orders_before,0.2962334
gender_Male,0.2511282
channel_type_TV_Show,0.23694672
courier_name_FastShip,0.23575003
courier_name_EcoDelivery,0.23201215
gender_Female,0.21568261
is_cod,0.21460593
cust_returns_before,0.20565787
membership_tier_Bronze,0.20365676
channel_type_Shopee,0.19712158
preferred_channel_TV,0.19075818
payment_method_Credit_Card,0.18096781
channel_type_TikTok,0.1539982
product_rating,0.14976034
promo_type_Campaign,0.14876507
preferred_channel_App,0.14403875
preferred_channel_LINE,0.13622126
hist_order_count,0.1339081
preferred_channel_Web,0.1273785
courier_type_Eco,0.12329686
campaign_discount_pct,0.11899647
channel_type_Mobile_App,0.11707669
total_discount_pct,0.11158807
payment_method_Bank_Transfer,0.11056684
days_since_last_order,0.10489786
pay_returns_before,0.099924065
province_return_rate_pti,0.097062185
delivery_time_expected_days,0.094462946
age_group_46_55,0.09076379
age_group_56_,0.087077804
membership_tier_Gold,0.0861882
pay_return_rate_pti,0.08568144
coverage_region_Nationwide,0.0833091
channel_return_rate_pti,0.08253549
courier_return_rate_pti,0.08168666
cat_return_rate_pti,0.07932242
courier_name_SafeLogistics,0.076073125
age_group_25,0.06786002
age,0.06755127
customer_tenure_months,0.06566222
province_Chonburi,0.065256104
brand_returns_before,0.05803757
tier_discount_pct,0.056776248
brand_orders_before,0.05030013
promo_name_No_Promotion,0.04819471
courier_orders_before,0.047004253
customer_age_days,0.04445941
province_orders_before,0.04351166
total_amount,0.043296307
courier_type_Express,0.041998856
order_hour,0.041557893
channel_returns_before,0.04091177
gender_Other,0.039632972
courier_returns_before,0.039434668
category_Electronics,0.03760618
discount_applied_amount,0.037167422
log_total_amount,0.0369147
brand_return_rate_pti,0.036725495
membership_tier_Silver,0.03556811
cat_orders_before,0.034618847
age_group_36_45,0.03414399
channel_orders_before,0.0336458
brand_BlendIt,0.03257872
category_channel_Supplement_Mobile_App,0.03231824
category_payment_Cosmetics_COD,0.032026805
category_channel_Home_Appliance_Mobile_App,0.02915364
province_returns_before,0.028427506
province_Bangkok,0.026653415
province_Songkhla,0.026283305
province_Phuket,0.026250796
promo_type_No_Promotion,0.02408306
category_payment_Fashion_Bank_Transfer,0.024015209
cat_returns_before,0.02206462
pay_orders_before,0.021765884
province_Chiang_Mai,0.021379298
category_channel_Electronics_TV_Show,0.020861333
low_rating_alert,0.020657798
is_repurchased_item,0.020450752
order_dayofweek,0.020175554
coverage_region_Bangkok_Only,0.019718997
province_payment_Songkhla_COD,0.019640205
category_Fashion,0.019412449
category_payment_Electronics_Credit_Card,0.019103583
unit_price,0.018731784
brand_VitaBoost,0.018680986
order_month,0.017367456
is_fragile,0.017299797
brand_SilkTouch,0.016336119
category_payment_Supplement_COD,0.016081816
log_unit_price,0.015714886
province_payment_Chonburi_COD,0.015661476
is_weekend,0.01512986
province_Nonthaburi,0.012985253
province_payment_Chonburi_Credit_Card,0.011041728
category_Home_Appliance,0.010652954
category_channel_Electronics_TikTok,0.0106389485
category_channel_Fashion_Shopee,0.010620674
category_payment_Electronics_Bank_Transfer,0.010511819
brand_GlowUp,0.009849948
brand_BoomBox,0.009750981
category_payment_Home_Appliance_Bank_Transfer,0.009392226
promo_name_Tech_Gadget_Fest,0.009198782
age_group_26_35,0.008943229
courier_type_Standard,0.007847912
category_Supplement,0.0077700648
province_Khon_Kaen,0.0064225346
brand_MuscleFuel,0.0061604963
category_payment_Supplement_Bank_Transfer,0.006022377
brand_SunSafe,0.0059893923
category_channel_Electronics_Shopee,0.0053352225
province_Remote_Area,0.0051324493
discount_amount_ratio,0.0048950836
quantity,0.0040371204
category_payment_Supplement_Credit_Card,0.003844368
brand_ShieldCase,0.003826028
membership_tier_Platinum,0.0037668634
province_payment_Nonthaburi_Bank_Transfer,0.003584853
category_channel_Fashion_TV_Show,0.0034735901
province_payment_Remote_Area_Bank_Transfer,0.0033559527
province_payment_Bangkok_Bank_Transfer,0.003355851
promo_name_Summer_Fashion_Week,0.0033513394
category_payment_Home_Appliance_Credit_Card,0.00314249
category_channel_Supplement_TV_Show,0.0031098037
province_payment_Chiang_Mai_COD,0.003065274
brand_SoundMax,0.0030583134
category_channel_Supplement_TikTok,0.0026143254
category_channel_Home_Appliance_TikTok,0.002525293
category_payment_Cosmetics_Bank_Transfer,0.0025228937
province_payment_Phuket_Credit_Card,0.00249611
province_payment_Bangkok_Credit_Card,0.0022746988
category_payment_Cosmetics_Credit_Card,0.0022177193
category_channel_Supplement_Shopee,0.0021004686
brand_HomePro,0.0019863155
category_channel_Fashion_TikTok,0.0019465946
category_payment_Fashion_Credit_Card,0.0018791873
province_payment_Songkhla_Credit_Card,0.0018726642
province_payment_Khon_Kaen_Bank_Transfer,0.001820482
category_channel_Electronics_Mobile_App,0.0017571498
category_payment_Home_Appliance_COD,0.0017460012
category_channel_Cosmetics_Shopee,0.0016018273
category_channel_Cosmetics_TikTok,0.0015713301
brand_DenimCo,0.0015146848
province_payment_Nonthaburi_COD,0.0014731879
category_channel_Home_Appliance_TV_Show,0.0014382453
province_payment_Remote_Area_Credit_Card,0.0014177198
category_channel_Home_Appliance_Shopee,0.0013725188
province_payment_Remote_Area_COD,0.0013053247
category_channel_Cosmetics_TV_Show,0.0012949534
category_payment_Electronics_COD,0.0012463342
province_payment_Bangkok_COD,0.0010366075
province_payment_Khon_Kaen_Credit_Card,0.0010004552
category_payment_Fashion_COD,0.00097103
province_payment_Phuket_COD,0.0008566299
promo_name_New_Year_Mega_Sale,0.00080202636
province_payment_Chiang_Mai_Bank_Transfer,0.0007831324
category_channel_Cosmetics_Mobile_App,0.0007577961
province_payment_Phuket_Bank_Transfer,0.00067596097
is_high_discount,0.00064297835
province_payment_Khon_Kaen_COD,0.00053486275
brand_OmegaPlus,0.0005327575
brand_RunFast,0.00048523504
brand_UniStyle,0.0
brand_AromaX,0.0
category_Cosmetics,0.0
brand_CookEasy,0.0
brand_GlowDrink,0.0
brand_SkinLab,0.0
brand_PureAir,0.0
brand_TimeX,0.0
category_channel_Fashion_Mobile_App,0.0
province_payment_Chonburi_Bank_Transfer,0.0
province_payment_Chiang_Mai_Credit_Card,0.0
province_payment_Nonthaburi_Credit_Card,0.0
province_payment_Songkhla_Bank_Transfer,0.0
