threshold,accuracy,precision,recall,f1,cost_thb,tn,fp,fn,tp
0.01,0.2906666666666667,0.2906666666666667,1.0,0.45041322314049587,26600,0,532,0,218
0.02,0.2906666666666667,0.2906666666666667,1.0,0.45041322314049587,26600,0,532,0,218
0.03,0.2906666666666667,0.2906666666666667,1.0,0.45041322314049587,26600,0,532,0,218
0.04,0.2906666666666667,0.2906666666666667,1.0,0.45041322314049587,26600,0,532,0,218
0.05,0.2906666666666667,0.2906666666666667,1.0,0.45041322314049587,26600,0,532,0,218
0.06,0.2906666666666667,0.2906666666666667,1.0,0.45041322314049587,26600,0,532,0,218
0.07,0.292,0.2910547396528705,1.0,0.45087900723888313,26550,1,531,0,218
0.08,0.29333333333333333,0.2914438502673797,1.0,0.45134575569358176,26500,2,530,0,218
0.09,0.2946666666666667,0.2918340026773762,1.0,0.45181347150259066,26450,3,529,0,218
0.1,0.304,0.2945945945945946,1.0,0.4551148225469729,26100,10,522,0,218
0.11,0.31466666666666665,0.2978142076502732,1.0,0.4589473684210526,25700,18,514,0,218
0.12,0.32133333333333336,0.29819694868238555,0.9862385321100917,0.4579339723109691,25750,26,506,3,215
0.13,0.33466666666666667,0.30239099859353025,0.9862385321100917,0.4628632938643703,25250,36,496,3,215
0.14,0.344,0.30484330484330485,0.981651376146789,0.4652173913043478,25000,44,488,4,214
0.15,0.35333333333333333,0.30735930735930733,0.9770642201834863,0.4676180021953897,24750,52,480,5,213
0.16,0.36666666666666664,0.3118594436310395,0.9770642201834863,0.4728079911209767,24250,62,470,5,213
0.17,0.38133333333333336,0.3169642857142857,0.9770642201834863,0.4786516853932584,23700,73,459,5,213
0.18,0.392,0.3207831325301205,0.9770642201834863,0.48299319727891155,23300,81,451,5,213
0.19,0.3933333333333333,0.3207261724659607,0.9724770642201835,0.48236632536973834,23350,83,449,6,212
0.2,0.39866666666666667,0.3226788432267884,0.9724770642201835,0.4845714285714286,23150,87,445,6,212
0.21,0.4066666666666667,0.32565284178187404,0.9724770642201835,0.48791714614499426,22850,93,439,6,212
0.22,0.408,0.3261538461538461,0.9724770642201835,0.48847926267281105,22800,94,438,6,212
0.23,0.4093333333333333,0.3266563944530046,0.9724770642201835,0.48904267589388695,22750,95,437,6,212
0.24,0.4146666666666667,0.32868217054263565,0.9724770642201835,0.49130938586326767,22550,99,433,6,212
0.25,0.41733333333333333,0.3297045101088647,0.9724770642201835,0.4924506387921022,22450,101,431,6,212
0.26,0.4226666666666667,0.3317683881064163,0.9724770642201835,0.49474912485414235,22250,105,427,6,212
0.27,0.42533333333333334,0.3328100470957614,0.9724770642201835,0.495906432748538,22150,107,425,6,212
0.28,0.43333333333333335,0.3359746434231379,0.9724770642201835,0.4994110718492344,21850,113,419,6,212
0.29,0.44533333333333336,0.33980582524271846,0.963302752293578,0.5023923444976076,21600,124,408,8,210
0.3,0.4573333333333333,0.3443163097199341,0.9587155963302753,0.5066666666666667,21250,134,398,9,209
0.31,0.4693333333333333,0.34797297297297297,0.944954128440367,0.508641975308642,21100,146,386,12,206
0.32,0.484,0.351493848857645,0.9174311926605505,0.5082592121982211,21150,163,369,18,200
0.33,0.5,0.35804701627486435,0.908256880733945,0.5136186770428015,20750,177,355,20,198
0.34,0.5026666666666667,0.3577981651376147,0.8944954128440367,0.5111402359108781,20950,182,350,23,195
0.35,0.5253333333333333,0.36730769230769234,0.8761467889908257,0.5176151761517616,20500,203,329,27,191
0.36,0.5506666666666666,0.3812375249500998,0.8761467889908257,0.5312934631432545,19550,222,310,27,191
0.37,0.564,0.38716356107660455,0.8577981651376146,0.5335235378031383,19450,236,296,31,187
0.38,0.5826666666666667,0.39828693790149894,0.8532110091743119,0.5430656934306569,18850,251,281,32,186
0.39,0.6026666666666667,0.4095022624434389,0.8302752293577982,0.5484848484848485,18600,271,261,37,181
0.4,0.616,0.41784037558685444,0.8165137614678899,0.5527950310559007,18400,284,248,40,178
0.41,0.6186666666666667,0.4178743961352657,0.7935779816513762,0.5474683544303798,18800,291,241,45,173
0.42,0.6226666666666667,0.41935483870967744,0.7752293577981652,0.5442834138486312,19050,298,234,49,169
0.43,0.6293333333333333,0.42424242424242425,0.7706422018348624,0.5472312703583062,18900,304,228,50,168
0.44,0.636,0.42782152230971127,0.7477064220183486,0.5442404006677797,19150,314,218,55,163
0.45,0.6426666666666667,0.43243243243243246,0.7339449541284404,0.54421768707483,19200,322,210,58,160
0.46,0.6546666666666666,0.4425770308123249,0.7247706422018348,0.5495652173913044,18950,333,199,60,158
0.47,0.668,0.4553314121037464,0.7247706422018348,0.5592920353982301,18450,343,189,60,158
0.48,0.672,0.45808383233532934,0.7018348623853211,0.5543478260869565,18800,351,181,65,153
0.49,0.6746666666666666,0.45962732919254656,0.6788990825688074,0.5481481481481482,19200,358,174,70,148
0.5,0.6786666666666666,0.4627831715210356,0.6559633027522935,0.5426944971537002,19550,366,166,75,143
0.51,0.688,0.47315436241610737,0.6467889908256881,0.5465116279069767,19400,375,157,77,141
0.52,0.6893333333333334,0.4738675958188153,0.6238532110091743,0.5386138613861386,19850,381,151,82,136
0.53,0.6906666666666667,0.4740740740740741,0.5871559633027523,0.5245901639344263,20600,390,142,90,128
0.54,0.6973333333333334,0.48249027237354086,0.5688073394495413,0.5221052631578947,20750,399,133,94,124
0.55,0.7026666666666667,0.4899598393574297,0.5596330275229358,0.5224839400428265,20750,405,127,96,122
0.56,0.7066666666666667,0.49586776859504134,0.5504587155963303,0.5217391304347826,20800,410,122,98,120
0.57,0.712,0.5042372881355932,0.5458715596330275,0.5242290748898678,20700,415,117,99,119
0.58,0.7186666666666667,0.515695067264574,0.5275229357798165,0.5215419501133787,20850,424,108,103,115
0.59,0.7186666666666667,0.5167464114832536,0.4954128440366973,0.5058548009367682,21550,431,101,110,108
0.6,0.7213333333333334,0.5228426395939086,0.4724770642201835,0.4963855421686747,21950,438,94,115,103
0.61,0.7213333333333334,0.5240641711229946,0.44954128440366975,0.4839506172839506,22450,443,89,120,98
0.62,0.7293333333333333,0.5433526011560693,0.43119266055045874,0.48081841432225064,22550,453,79,124,94
0.63,0.7306666666666667,0.5493827160493827,0.40825688073394495,0.46842105263157896,23000,459,73,129,89
0.64,0.7346666666666667,0.5664335664335665,0.37155963302752293,0.4487534626038781,23650,470,62,137,81
0.65,0.732,0.5669291338582677,0.3302752293577982,0.41739130434782606,24650,477,55,146,72
0.66,0.74,0.6036036036036037,0.3073394495412844,0.4072948328267477,24850,488,44,151,67
0.67,0.7373333333333333,0.6105263157894737,0.26605504587155965,0.3706070287539936,25850,495,37,160,58
0.68,0.7413333333333333,0.6395348837209303,0.25229357798165136,0.3618421052631579,26000,501,31,163,55
0.69,0.7346666666666667,0.6301369863013698,0.21100917431192662,0.3161512027491409,27150,505,27,172,46
0.7,0.736,0.6612903225806451,0.18807339449541285,0.29285714285714287,27600,511,21,177,41
0.71,0.736,0.6724137931034483,0.17889908256880735,0.2826086956521739,27800,513,19,179,39
0.72,0.7306666666666667,0.66,0.15137614678899083,0.2462686567164179,28600,515,17,185,33
0.73,0.7266666666666667,0.6444444444444445,0.13302752293577982,0.22053231939163498,29150,516,16,189,29
0.74,0.7226666666666667,0.625,0.11467889908256881,0.1937984496124031,29700,517,15,193,25
0.75,0.724,0.6486486486486487,0.11009174311926606,0.18823529411764706,29750,519,13,194,24
0.76,0.7226666666666667,0.65625,0.0963302752293578,0.168,30100,521,11,197,21
0.77,0.7186666666666667,0.6521739130434783,0.06880733944954129,0.12448132780082988,30850,524,8,203,15
0.78,0.7106666666666667,0.5294117647058824,0.04128440366972477,0.07659574468085106,31750,524,8,209,9
0.79,0.7106666666666667,0.5384615384615384,0.03211009174311927,0.06060606060606061,31950,526,6,211,7
0.8,0.712,0.6,0.027522935779816515,0.05263157894736842,32000,528,4,212,6
0.81,0.712,0.75,0.013761467889908258,0.02702702702702703,32300,531,1,215,3
0.82,0.7106666666666667,0.6666666666666666,0.009174311926605505,0.01809954751131222,32450,531,1,216,2
0.83,0.7093333333333334,0.5,0.0045871559633027525,0.00909090909090909,32600,531,1,217,1
0.84,0.7106666666666667,1.0,0.0045871559633027525,0.0091324200913242,32550,532,0,217,1
0.85,0.7106666666666667,1.0,0.0045871559633027525,0.0091324200913242,32550,532,0,217,1
0.86,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.87,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.88,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.89,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.9,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.91,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.92,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.93,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.94,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.95,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.96,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.97,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.98,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
0.99,0.7093333333333334,0.0,0.0,0.0,32700,532,0,218,0
