importance_rank,feature,pearson_corr,spearman_corr,direction,mean_not_returned,mean_returned,delta_return_minus_not,non_null_rows,interpretation
1,customer_return_ratio,0.2396584095994358,0.2582504904089637,positive,0.18407821530829116,0.327720879731189,0.14364266442289786,5000,customer_return_ratio สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
2,hist_return_rate_180d,0.2337644340614719,0.25103374251338423,positive,0.1946694427653525,0.3467442465896074,0.1520748038242549,5000,hist_return_rate_180d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
3,total_returns_before,0.20540630475942098,0.24235138323115218,positive,1.1246826516220028,1.9209621993127148,0.7962795476907121,5000,total_returns_before สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
4,days_since_last_return,0.10700280314808722,0.19995358130338733,positive,39.96163610719323,56.90652920962199,16.944893102428765,5000,days_since_last_return สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
5,delivery_time_expected_days,-0.04496368769969792,-0.04495610251343442,negative,2.0222849083215797,1.9422680412371134,-0.08001686708446631,5000,delivery_time_expected_days สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่ลดลง
6,hist_return_rate_60d,0.2082466258593606,0.22619801190354222,positive,0.2048797770165894,0.3695107183766978,0.1646309413601084,5000,hist_return_rate_60d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
7,hist_order_count_60d,0.06318496122771634,0.07209071213734723,positive,1.8702397743300423,2.040549828178694,0.17031005384865172,5000,hist_order_count_60d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
8,product_rating,-0.09401327331835822,-0.08892197882057733,negative,4.316445698166431,4.23745704467354,-0.07898865349289164,5000,product_rating สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่ลดลง
9,order_dayofweek,-0.005243554164434761,-0.00533654849059447,near_zero,2.9991537376586743,2.9759450171821307,-0.023208720476543654,5000,order_dayofweek มีความสัมพันธ์เชิงเส้นกับการคืนสินค้าน้อย แต่ยังอาจช่วยโมเดลผ่าน interaction/non-linear pattern
10,customer_age_days,0.022251736982515067,0.022271395551510986,positive,1508.0629055007053,1535.4838487972509,27.4209432965456,5000,customer_age_days สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
11,hist_return_rate_30d,0.19316044467240184,0.20334833366420396,positive,0.20543824299818658,0.3710652920962199,0.16562704909803333,5000,hist_return_rate_30d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
12,days_since_last_order,0.037279936046182925,0.040705737896848795,positive,38.19548660084626,41.82955326460481,3.634066663758553,5000,days_since_last_order สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
13,hist_order_count_180d,0.07208125008098756,0.07609707527073256,positive,3.410719322990127,3.770446735395189,0.359727412405062,5000,hist_order_count_180d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
14,hist_order_count_30d,0.045663429556992444,0.05783674046338328,positive,1.4118476727785614,1.5003436426116838,0.08849596983312247,5000,hist_order_count_30d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
15,age,0.02673042096829571,0.027265417740578078,positive,42.99153737658674,43.88522336769759,0.8936859911108499,5000,age สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
16,return_rate_by_category,0.053612724321956975,0.05955323964925124,positive,0.27966290844736774,0.2863484702509087,0.0066855618035409625,5000,return_rate_by_category สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
17,hist_spend_sum_30d,0.023436934731414685,0.036505194803090245,positive,2850.3708039492244,2985.983848797251,135.61304484802668,5000,hist_spend_sum_30d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
18,hist_spend_sum_180d,0.06556739878680069,0.07064293241348069,positive,6811.257686882934,7600.050859106529,788.7931722235953,5000,hist_spend_sum_180d สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
19,promo_discount_pct,0.017275496873071478,0.012616437585304102,positive,0.09716502115655855,0.09920962199312716,0.0020446008365686136,5000,promo_discount_pct สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
20,total_orders_before,0.08048243055451894,0.08852524670701693,positive,4.834132581100141,5.488659793814433,0.6545272127142923,5000,total_orders_before สูงขึ้น มีแนวโน้มสัมพันธ์กับโอกาสคืนสินค้าที่สูงขึ้น
