feature,importance
category_province,435
category_channel,396
province_payment,324
brand,201
category_payment,155
discount_amount_ratio,126
payment_return_rate_pti,124
customer_tenure_months,118
damage_rate,106
channel_return_rate_pti,104
damage_rating_gap,100
courier_return_rate_pti,93
promo_discount_rate,91
supplier_return_rate_pti,89
product_quality_score,81
product_rating,75
customer_avg_spend_before,70
age,68
days_since_last_return,61
customer_cod_rate_before,60
brand_return_rate_pti,60
unit_price,60
product_return_rate_pti,59
logistics_risk_score,57
product_price_index,49
category_return_rate_pti,46
amount_per_item,39
remote_logistics_risk,33
membership_tier,32
total_amount,31
fragile_damage_risk,28
price_band,28
product_rating_gap,24
customer_return_ratio,21
quantity,21
is_cod,19
total_discount_pct,16
promo_type,15
hist_order_count_30d,12
low_rating_high_discount,11
high_discount_cod,10
order_time_bucket,10
hist_order_count_90d,8
delivery_time_expected_days,7
hist_return_rate_90d,7
log_total_amount,6
courier_type,6
total_orders_before,6
discount_band,5
hist_return_rate_365d,4
rating_band,4
province,3
is_fragile,3
hist_return_rate_30d,2
hist_order_count_365d,1
channel_type,1
is_fragile_cod,1
hist_order_count_7d,0
total_returns_before,0
payment_method,0
category,0
hist_return_rate_7d,0
low_rating_alert,0
is_high_discount,0
